post_id	place	score
1008279892518211_1699952476684279	ariana	0.105962127969
1008279892518211_1699407143405479	ariana	0.0990351427072
1008279892518211_1687120407967486	ariana	0.101268082132
1008279892518211_1663741523638708	ariana	0.100339248054
1008279892518211_1663762856969908	ariana	0.0974361434089
1008279892518211_1660164333996427	ariana	0.104782510848
1008279892518211_1659441944068666	ariana	0.0987014542939
1008279892518211_1648354568510737	ariana	0.11190877016
1008279892518211_1627499860596208	ariana	0.0929799669097
1008279892518211_1621526444526883	ariana	0.0932816240969
1008279892518211_1621483747864486	ariana	0.0937667829717
1008279892518211_1616991334980394	ariana	0.101425379983
1008279892518211_1602836293062565	ariana	0.0905768553633
1008279892518211_1596980086981519	ariana	0.103995888057
1008279892518211_1597851550227706	ariana	0.0916801078217
1008279892518211_1586658914680303	ariana	0.105283470302
1008279892518211_1581185068561021	ariana	0.0988273410128
1008279892518211_1580745165271678	ariana	0.0887778965627
1008279892518211_1578846848794843	ariana	0.0903189387425
1008279892518211_1572052146140980	ariana	0.0889173900258
1008279892518211_1550498091629719	ariana	0.0864196644087
1008279892518211_1549629641716564	ariana	0.0909803268143
1008279892518211_1548507738495421	ariana	0.0911205959939
1008279892518211_1545675342111994	ariana	0.0895722760857
1008279892518211_1544562512223277	ariana	0.0861750340872
1008279892518211_1540037182675810	ariana	0.0845399594403
1008279892518211_1534228533256675	ariana	0.0850430779453
1008279892518211_1524593644220164	ariana	0.0834589333429
1008279892518211_1510427175636811	ariana	0.0844107019805
1008279892518211_1479778615368334	ariana	0.0799163707532
1008279892518211_1471679586178237	ariana	0.0970074426793
1008279892518211_1457581947588001	ariana	0.0879503892818
1008279892518211_1444987588847437	ariana	0.0796007009941
1008279892518211_1398187516860778	ariana	0.0742537122825
1008279892518211_1396120290400834	ariana	0.0682660700552
1008279892518211_1385284738151056	ariana	0.0719808499866
1008279892518211_1378293352183528	ariana	0.0975395413668
1008279892518211_1366461423366721	ariana	0.0802684521445
1008279892518211_1337299836282880	ariana	0.0630169305176
1008279892518211_1330129480333249	ariana	0.0646849729835
1008279892518211_1328480400498157	ariana	0.0717236180447
1008279892518211_1315571675122363	ariana	0.0639000635605
1008279892518211_1313934731952724	ariana	0.0714014222091
1008279892518211_1311896118823252	ariana	0.0593495647211
1008279892518211_1311895862156611	ariana	0.0593495176806
1008279892518211_1278851725461025	ariana	0.0553933553914
1008279892518211_1270234272989437	ariana	0.057005379478
1008279892518211_1260410027305195	ariana	0.0917762422786
1008279892518211_1259119350767596	ariana	0.0530212215973
1008279892518211_1257551200924411	ariana	0.05190303866
1008279892518211_1235855236427341	ariana	0.0564123678265
1008279892518211_1215192165160315	ariana	0.0460015132835
1008279892518211_1207354909277374	ariana	0.0438487524924
1008279892518211_1199891060023759	ariana	0.0444804268111
1008279892518211_1195235607155971	ariana	0.0412425001386
1008279892518211_1187135854632613	ariana	0.0426652105921
1008279892518211_1186636168015915	ariana	0.0399082260722
1008279892518211_1185452421467623	ariana	0.0396089673701
1008279892518211_1181957551817110	ariana	0.0455226839471
1008279892518211_1180798425266356	ariana	0.0394679580241
1008279892518211_1176644942348371	ariana	0.0419782035247
1008279892518211_1174336285912570	ariana	0.0471962306422
1008279892518211_1173079579371574	ariana	0.0409476229488
1008279892518211_1141272002552332	ariana	0.041448111676
1008279892518211_1139961506016715	ariana	0.0472761505658
1008279892518211_1136032073076325	ariana	0.0418377175713
1008279892518211_1134416139904585	ariana	0.0359006541571
1008279892518211_1122875844391948	ariana	0.0294880804823
1008279892518211_1114458458567020	ariana	0.027086379882
1008279892518211_1112432148769651	ariana	0.0257404962057
1008279892518211_1111539422192257	ariana	0.0329067392282
1008279892518211_1111231528889713	ariana	0.0254000990693
1008279892518211_1110033442342855	ariana	0.0247252669912
1008279892518211_1089553757724157	ariana	0.0213245706669
1008279892518211_1087376291275237	ariana	0.0196905685245
1008279892518211_1086666138012919	ariana	0.0245451684437
1008279892518211_1080791651933701	ariana	0.0202977620486
1008279892518211_1080042372008629	ariana	0.0187724166085
1008279892518211_1073778062635060	ariana	0.0197828631534
1008279892518211_1066813193331547	ariana	0.0243730972434
1008279892518211_1063317610347772	ariana	0.0169447997579
1008279892518211_1063190063693860	ariana	0.0487437386441
1008279892518211_1063174097028790	ariana	0.0351854253161
1008279892518211_1063611713651695	ariana	0.0133306162582
1008279892518211_1062776123735254	ariana	0.014522713281
1008279892518211_1062473170432216	ariana	0.0131595184396
1008279892518211_1062177453795121	ariana	0.0191497780849
1008279892518211_1062367090442824	ariana	0.0287772312741
1008279892518211_1062494277096772	ariana	0.0134304657694
1008279892518211_1061279097218290	ariana	0.0133208107413
1008279892518211_1061552610524272	ariana	0.0125218585456
1008279892518211_1060403097305890	ariana	0.0200903141901
1008279892518211_1059529160726617	ariana	0.0421121741547
1008279892518211_1056835324329334	ariana	0.0115382919115
1008279892518211_1053829197963280	ariana	0.0114755425372
1008279892518211_1053659521313581	ariana	0.011747551251
1008279892518211_1053541794658687	ariana	0.0107220488974
1008279892518211_1051744224838444	ariana	0.0114170391198
1008279892518211_1049497635063103	ariana	0.00957726676353
1008279892518211_1048567185156148	ariana	0.0154296949152
1008279892518211_1046694695343397	ariana	0.012846876818
1008279892518211_1045548402124693	ariana	0.00861643828125
1008279892518211_1040094902670043	ariana	0.00985178383735
1008279892518211_1040231065989760	ariana	0.00898162511206
1008279892518211_1040018782677655	ariana	0.00783605135425
1008279892518211_1039153826097484	ariana	0.0125392611185
1008279892518211_1036475366365330	ariana	0.0068721288628
1008279892518211_1036475326365334	ariana	0.00647447487309
1008279892518211_1036474489698751	ariana	0.00651936317381
1008279892518211_1033529183326615	ariana	0.00672414460013
1008279892518211_1025664940779706	ariana	0.00504448871059
1008279892518211_1008524509160416	ariana	0.00186193768399
1008279892518211_1544240295588832	beja	0.107430540674
1008279892518211_1472111706135025	beja	0.0809724090227
1008279892518211_1469337846412411	beja	0.0825932639395
1008279892518211_1415513781794818	beja	0.0714824963298
1008279892518211_1414115685267961	beja	0.0751723473522
1008279892518211_1410383208974542	beja	0.0841720272052
1008279892518211_1411175725561957	beja	0.0755391127221
1008279892518211_1399687326710797	beja	0.0797245875426
1008279892518211_1134532069892992	beja	0.0331460860581
1008279892518211_1124637634215769	beja	0.029029196106
1008279892518211_1123792954300237	beja	0.0369976407308
1008279892518211_1708698959142964	benArous	0.132315730598
1008279892518211_1704836032862590	benArous	0.109624815829
1008279892518211_1704347249578135	benArous	0.116584304803
1008279892518211_1691167910896069	benArous	0.116501822648
1008279892518211_1683352008344326	benArous	0.0991765863217
1008279892518211_1660202197325974	benArous	0.105043518895
1008279892518211_1645616715451189	benArous	0.102941958967
1008279892518211_1637905916222269	benArous	0.152681051853
1008279892518211_1630599413619586	benArous	0.094228154393
1008279892518211_1627526877260173	benArous	0.0938499482479
1008279892518211_1533630833316445	benArous	0.0824788781154
1008279892518211_1519633251382870	benArous	0.0968791489133
1008279892518211_1503881236291405	benArous	0.213682269988
1008279892518211_1477407982272064	benArous	0.103534486624
1008279892518211_1466257466720449	benArous	0.0880339207936
1008279892518211_1408045052541691	benArous	0.0712633771301
1008279892518211_1185920718087460	benArous	0.0390887510756
1008279892518211_1149943565018509	benArous	0.0364765204086
1008279892518211_1056956907650509	benArous	0.0111867575282
1008279892518211_1051554234857443	benArous	0.0303915621582
1008279892518211_1039644926048374	benArous	0.00890352626899
1008279892518211_1039655216047345	benArous	0.00791481467592
1008279892518211_1695852243760969	bizert	0.102095011362
1008279892518211_1670501402962720	bizert	0.0976717924625
1008279892518211_1666842783328582	bizert	0.0979992291878
1008279892518211_1660823533930507	bizert	0.0967774512152
1008279892518211_1642915209054673	bizert	0.0997733710209
1008279892518211_1637630129583181	bizert	0.10945086867
1008279892518211_1638790732800454	bizert	0.0967616029942
1008279892518211_1627403413939186	bizert	0.0928359552171
1008279892518211_1615584625121065	bizert	0.278853494929
1008279892518211_1614792791866915	bizert	0.188673369558
1008279892518211_1618250601521134	bizert	0.0933693343821
1008279892518211_1618211774858350	bizert	0.0940711978761
1008279892518211_1615809351765259	bizert	0.100406139484
1008279892518211_1602920183054176	bizert	0.0914655737916
1008279892518211_1602914496388078	bizert	0.0904607588972
