post_id	post_published_unix	comments_count_fb	shares_count_fb	comments_replies	comment_likes_count	rea_NONE	rea_LIKE	rea_LOVE	rea_WOW	rea_HAHA	rea_SAD	rea_ANGRY	rea_THANKFUL	place	post_published_sql
1008279892518211_1642915209054673	1501192847	2	1	1	1	0	2	0	0	0	1	4	0	bizert	2017-07-28 00:00:47
1008279892518211_1640920725920788	1501050879	22	25	7	24	0	157	30	2	0	0	0	0	sousse	2017-07-26 08:34:39
1008279892518211_1641300725882788	1501080638	4	16	0	1	0	4	0	0	0	2	3	0	tozeur	2017-07-26 16:50:38
1008279892518211_1642825399063654	1501185137	9	0	3	5	0	14	0	0	7	2	1	0	monastir	2017-07-27 21:52:17
1008279892518211_1639835449362649	1500972413	9	5	0	2	0	20	0	2	0	4	2	0	tunis	2017-07-25 10:46:53
1008279892518211_1641123445900516	1501067972	0	6	0	0	0	2	1	0	0	2	1	0	tunis	2017-07-26 13:19:32
1008279892518211_1641050512574476	1501061235	0	6	0	0	0	4	0	0	0	0	1	0	sousse	2017-07-26 11:27:15
1008279892518211_1641021835910677	1501059047	0	0	0	0	0	0	0	0	0	0	0	0	sousse	2017-07-26 10:50:47
1008279892518211_1639494159396778	1500943087	17	15	8	10	0	25	1	3	1	1	15	0	tunis	2017-07-25 02:38:07
1008279892518211_1635267596486101	1500637883	43	59											tunis	2017-07-21 13:51:23
1008279892518211_1639400976072763	1500935867	0	0	0	0	0	0	0	0	0	0	0	0	tunis	2017-07-25 00:37:47
1008279892518211_1637630129583181	1500809695	6	19	0	4	0	24	0	0	5	3	2	0	bizert	2017-07-23 13:34:55
1008279892518211_1636469093032618	1500728761	5	0											sfax	2017-07-22 15:06:01
1008279892518211_1639317179414476	1500929651	1	6	0	0	0	24	0	0	0	0	0	0	tunis	2017-07-24 22:54:11
1008279892518211_1639157142763813	1500919442	5	13	0	5	0	14	0	1	0	2	5	0	tozeur	2017-07-24 20:04:02
1008279892518211_1639110696101791	1500916803	2	86	0	0	0	36	0	5	0	3	12	0	tunis	2017-07-24 19:20:03
1008279892518211_1639243412755186	1500924457	0	0	0	0	0	0	0	0	0	0	0	0	sousse	2017-07-24 21:27:37
1008279892518211_1635168383162689	1500629297	18	11	5	12	0	3	0	0	0	1	4	0	tunis	2017-07-21 11:28:17
1008279892518211_1638959299450264	1500906318	0	0	0	0	0	0	0	0	0	0	0	0	tunis	2017-07-24 16:25:18
1008279892518211_1638784952801032	1500893622	7	5	2	10	0	12	1	0	1	0	0	0	tunis	2017-07-24 12:53:42
1008279892518211_1637905916222269	1500827126	22	85	2	7	0	157	7	0	1	9	4	0	benArous	2017-07-23 18:25:26
1008279892518211_1638790732800454	1500894174	2	0	1	3	0	8	1	0	0	0	0	0	bizert	2017-07-24 13:02:54
1008279892518211_1638862092793318	1500899729	0	0	0	0	0	0	0	0	0	0	0	0	tunis	2017-07-24 14:35:29
1008279892518211_1638783079467886	1500893458	3	0	0	2	0	4	0	0	1	1	2	0	sousse	2017-07-24 12:50:58
1008279892518211_1638806036132257	1500895595	0	2	0	0	0	2	0	0	0	0	2	0	sousse	2017-07-24 13:26:35
1008279892518211_1637914029554791	1500827764	5	5	0	7	0	20	1	1	0	1	10	0	sousse	2017-07-23 18:36:04
1008279892518211_1638715136141347	1500887402	0	0	0	0	0	0	0	0	0	0	2	0	kairouan	2017-07-24 11:10:02
1008279892518211_1638255682853959	1500847951	4	1	1	4	0	24	0	0	1	0	0	0	tunis	2017-07-24 00:12:31
1008279892518211_1638673096145551	1500883180	0	0	0	0	0	4	1	0	0	0	0	0	tunis	2017-07-24 09:59:40
1008279892518211_1635561296456731	1500657993	60	0	14	42	0	52	0	4	12	0	30	0	sousse	2017-07-21 19:26:33
1008279892518211_1637016632977864	1500764768	73	0	44	60	0	22	1	3	0	4	9	0	tunis	2017-07-23 01:06:08
1008279892518211_1637126669633527	1500772451	11	15	1	2	0	108	19	0	0	0	0	0	tunis	2017-07-23 03:14:11
1008279892518211_1636519189694275	1500732123	12	27	6	3	0	36	0	2	2	6	11	0	tunis	2017-07-22 16:02:03
1008279892518211_1635508193128708	1500653980	13	3	6	5	0	49	0	0	24	1	1	0	tunis	2017-07-21 18:19:40
1008279892518211_1634726253206902	1500592200	4	6	0	3	0	9	0	0	0	8	3	0	tunis	2017-07-21 01:10:00
1008279892518211_1636278853051642	1500715360	0	2	0	0	0	2	0	0	0	2	1	0	sousse	2017-07-22 11:22:40
1008279892518211_1633388543340673	1500487905	1	1	0	0	0	13	1	0	0	0	0	0	tunis	2017-07-19 20:11:45
1008279892518211_1635049673174560	1500618263	0	0	0	0	0	14	5	0	0	0	0	0	sousse	2017-07-21 08:24:23
1008279892518211_1634723416540519	1500591890	5	0	3	3	0	6	0	0	0	0	0	0	tunis	2017-07-21 01:04:50
1008279892518211_1634941723185355	1500609746	0	0	0	0	0	2	0	0	0	0	0	0	tunis	2017-07-21 06:02:26
1008279892518211_1634190876593773	1500552968	10	15	0	7	0	47	0	0	60	0	1	0	tunis	2017-07-20 14:16:08
1008279892518211_1630060857006775	1500230655	5	2	0	0	0	12	1	0	0	1	4	0	tunis	2017-07-16 20:44:15
1008279892518211_1629810117031849	1500214500	18	22	1	12	0	18	0	3	0	2	9	0	kairouan	2017-07-16 16:15:00
1008279892518211_1630839123595615	1500294510	0	0	0	0	0	1	0	0	0	0	1	0	sousse	2017-07-17 14:28:30
1008279892518211_1630813196931541	1500292349	0	3	0	0	0	0	0	0	0	0	0	0	tunis	2017-07-17 13:52:29
1008279892518211_1630812970264897	1500292326	0	9	0	0	0	3	0	0	0	0	0	0	tunis	2017-07-17 13:52:06
1008279892518211_1630599413619586	1500271999	1	1	0	0	0	4	0	0	0	0	1	0	benArous	2017-07-17 08:13:19
1008279892518211_1630716093607918	1500284084	1	2	0	0	0	1	0	2	1	1	0	0	sousse	2017-07-17 11:34:44
1008279892518211_1630716433607884	1500284121	0	0	0	0	0	2	0	0	0	0	0	0	tunis	2017-07-17 11:35:21
1008279892518211_1630679353611592	1500280110	0	0	0	0	0	1	0	0	0	0	0	0	monastir	2017-07-17 10:28:30
1008279892518211_1630671773612350	1500279340	0	4	0	0	0	1	0	2	1	0	2	0	sousse	2017-07-17 10:15:40
1008279892518211_1630328603646667	1500249947	9	5	5	5	0	6	2	0	0	13	1	0	tunis	2017-07-17 02:05:47
1008279892518211_1630497030296491	1500262706	0	0	0	0	0	1	0	0	0	0	0	0	tunis	2017-07-17 05:38:26
1008279892518211_1627526877260173	1500055683	0	3	0	0	0	11	0	0	0	0	0	0	benArous	2017-07-14 20:08:03
1008279892518211_1627499860596208	1500054130	0	0	0	0	0	3	0	0	0	0	0	0	ariana	2017-07-14 19:42:10
1008279892518211_1627465767266284	1500052215	0	3	0	0	0	12	0	0	0	0	0	0	tunis	2017-07-14 19:10:15
1008279892518211_1626329704046557	1499974703	15	0	5	8	0	1	0	0	0	0	0	0	tunis	2017-07-13 21:38:23
1008279892518211_1627403413939186	1500048074	0	0	0	0	0	0	0	0	0	0	0	0	bizert	2017-07-14 18:01:14
1008279892518211_1623660357646825	1499783936	448	0	197	580	0	310	7	46	4	10	161	0	tunis	2017-07-11 16:38:56
1008279892518211_1627385187274342	1500046766	0	1	0	0	0	1	0	1	0	0	0	0	tunis	2017-07-14 17:39:26
1008279892518211_1624655240880670	1499856750	7	0	3	6	0	8	1	0	0	0	2	0	sousse	2017-07-12 12:52:30
1008279892518211_1625782807434580	1499939121	0	0	0	0	0	1	0	0	1	1	0	0	tunis	2017-07-13 11:45:21
1008279892518211_1625756910770503	1499937886	1	0	0	2	0	8	1	0	0	2	0	0	tunis	2017-07-13 11:24:46
1008279892518211_1625746290771565	1499936914	0	0	0	0	0	2	0	0	0	0	0	0	tunis	2017-07-13 11:08:34
1008279892518211_1622505934428934	1499696577	4	23	1	1	0	22	0	0	0	1	9	0	tunis	2017-07-10 16:22:57
1008279892518211_1621526444526883	1499618060	0	6	0	0	0	1	0	0	0	0	0	0	ariana	2017-07-09 18:34:20
1008279892518211_1621518124527715	1499617604	0	1	0	0	0	3	0	0	0	0	0	0	sousse	2017-07-09 18:26:44
1008279892518211_1621483747864486	1499615705	2	7	0	1	0	1	0	0	0	0	0	0	ariana	2017-07-09 17:55:05
1008279892518211_1620168177996043	1499520255	4	16	0	2	0	5	0	2	0	0	7	0	tunis	2017-07-08 15:24:15
1008279892518211_1619939014685626	1499499696	8	4	5	2	0	10	0	0	0	0	0	0	tunis	2017-07-08 09:41:36
1008279892518211_1620253434654184	1499525713	14	10	0	9	0	155	15	0	0	0	0	0	tunis	2017-07-08 16:55:13
1008279892518211_1619010328111828	1499435851	15	16	0	2	0	117	19	1	0	0	0	0	tunis	2017-07-07 15:57:31
1008279892518211_1621349911211203	1499607707	1	0	0	0	0	6	0	1	0	0	1	0	nabeul	2017-07-09 15:41:47
1008279892518211_1618288921517302	1499382313	1	1	0	0	0	3	0	0	0	0	0	0	tunis	2017-07-07 01:05:13
1008279892518211_1618445268168334	1499393767	0	0	0	0	0	1	0	0	0	1	0	0	mahdia	2017-07-07 04:16:07
1008279892518211_1618333601512834	1499385736	1	0	0	0	0	0	0	0	0	0	0	0	tunis	2017-07-07 02:02:16
1008279892518211_1618322184847309	1499384744	2	0	1	3	0	1	0	0	2	0	0	0	tunis	2017-07-07 01:45:44
1008279892518211_1615584625121065	1499187343	223	0	135	275	0	318	45	3	32	1	3	0	bizert	2017-07-04 18:55:43
1008279892518211_1614792791866915	1499129152	25	0	11	17	0	247	43	1	6	1	0	0	bizert	2017-07-04 02:45:52
1008279892518211_1618280434851484	1499381579	0	0	0	0	0	1	0	0	0	0	0	0	tunis	2017-07-07 00:52:59
1008279892518211_1618250601521134	1499379275	0	8	0	0	0	3	0	0	0	0	0	0	bizert	2017-07-07 00:14:35
1008279892518211_1615531565126371	1499183892	3	4	0	0	0	19	0	0	0	1	0	0	gafsa	2017-07-04 17:58:12
1008279892518211_1618211774858350	1499377373	0	0	0	0	0	11	1	0	0	0	0	0	bizert	2017-07-06 23:42:53
1008279892518211_1618137078199153	1499372380	0	0	0	0	0	0	0	0	0	0	0	0	tunis	2017-07-06 22:19:40
1008279892518211_1617029911643203	1499294160	4	4	2	1	0	2	0	0	0	1	1	0	tunis	2017-07-06 00:36:00
1008279892518211_1617021991643995	1499293491	0	1	0	0	0	0	0	0	0	0	0	0	kef	2017-07-06 00:24:51
1008279892518211_1616991334980394	1499291146	1	7	0	1	0	33	4	0	0	0	0	0	ariana	2017-07-05 23:45:46
1008279892518211_1616942941651900	1499287375	3	0	0	2	0	1	0	0	0	0	0	0	sousse	2017-07-05 22:42:55
1008279892518211_1615389008473960	1499175078	68	2	44	74	0	13	0	2	0	3	3	0	tunis	2017-07-04 15:31:18
1008279892518211_1616231941723000	1499235509	8	0	3	7	0	34	4	0	0	0	0	0	sousse	2017-07-05 08:18:29
1008279892518211_1616635878349273	1499266431	5	3	2	1	0	18	3	0	0	0	0	0	tunis	2017-07-05 16:53:51
1008279892518211_1614820421864152	1499130855	72	12	51	55	0	8	0	7	1	11	10	0	tunis	2017-07-04 03:14:15
post_id	post_published_unix	comments_count_fb	shares_count_fb	comments_replies	comment_likes_count	rea_NONE	rea_LIKE	rea_LOVE	rea_WOW	rea_HAHA	rea_SAD	rea_ANGRY	rea_THANKFUL	place	post_published_sql
1008279892518211_1610387215640806	1498833129	32	88	6	25	0	264	17	0	3	0	4	0	tunis	2017-06-30 16:32:09
1008279892518211_1615076421838552	1499150553	17	0	5	14	0	201	41	0	0	0	0	0	sousse	2017-07-04 08:42:33
1008279892518211_1614468071899387	1499105940	2	6	0	0	0	4	0	1	0	0	0	0	nabeul	2017-07-03 20:19:00
1008279892518211_1614425335236994	1499103291	45	34	15	41	0	87	5	5	0	11	29	0	kef	2017-07-03 19:34:51
1008279892518211_1615837061762488	1499204729	0	1	0	0	0	14	0	0	0	0	0	0	tunis	2017-07-04 23:45:29
1008279892518211_1615823671763827	1499203610	0	0	0	0	0	1	0	0	0	0	3	0	tunis	2017-07-04 23:26:50
1008279892518211_1613843131961881	1499061461	14	18	1	8	0	48	3	0	0	0	2	0	mahdia	2017-07-03 07:57:41
1008279892518211_1615809351765259	1499202416	0	11	0	0	0	30	2	1	0	0	0	0	bizert	2017-07-04 23:06:56
1008279892518211_1613061585373369	1499006673	55	0	17	39	0	249	59	0	1	0	0	0	tunis	2017-07-02 16:44:33
1008279892518211_1613245275355000	1499017838	25	39	3	4	0	108	13	0	0	0	0	0	tunis	2017-07-02 19:50:38
1008279892518211_1610767752269419	1498857174	47	115	6	29	0	69	0	16	1	3	52	0	tunis	2017-06-30 23:12:54
1008279892518211_1609511622395032	1498774969	41	28	8	25	0	69	6	0	0	0	2	0	mahdia	2017-06-30 00:22:49
1008279892518211_1609602759052585	1498780588	3	4	0	2	0	41	8	0	0	4	0	0	tunis	2017-06-30 01:56:28
1008279892518211_1608223445857183	1498705804	42	16	5	65	0	203	43	0	5	0	0	0	tunis	2017-06-29 05:10:04
