post_id	place	score	time
1008279892518211_1708661635813363	tunis	0.109574026729	2017-09-10 16:37:06
1008279892518211_1708956122450581	tunis	0.100090252708	2017-09-10 22:03:45
1008279892518211_1707703319242528	tunis	0.198948633735	2017-09-09 18:30:30
1008279892518211_1708698959142964	benArous	0.132315730598	2017-09-10 17:15:29
1008279892518211_1707358425943684	tunis	0.103168591419	2017-09-09 10:14:36
1008279892518211_1707987425880784	tunis	0.112257337074	2017-09-10 00:16:58
1008279892518211_1707907745888752	tunis	0.134362142939	2017-09-09 22:35:04
1008279892518211_1708476759165184	tunis	0.10004440397	2017-09-10 13:07:41
1008279892518211_1708372042508989	tunis	0.102660944224	2017-09-10 10:31:10
1008279892518211_1708421879170672	tunis	0.106951910453	2017-09-10 11:39:36
1008279892518211_1708181065861420	tunis	0.104327113578	2017-09-10 04:59:30
1008279892518211_1707708025908724	tunis	0.110569794535	2017-09-09 18:37:13
1008279892518211_1706822215997305	tunis	0.106273505124	2017-09-08 20:20:14
1008279892518211_1707785789234281	tunis	0.0998670566233	2017-09-09 20:09:22
1008279892518211_1707664435913083	tunis	0.0998999396366	2017-09-09 17:46:13
1008279892518211_1707654965914030	tunis	0.102602513216	2017-09-09 17:33:37
1008279892518211_1705463736133153	tunis	0.329127309086	2017-09-07 14:05:17
1008279892518211_1707424982603695	tunis	0.103880577026	2017-09-09 12:33:44
1008279892518211_1707404929272367	tunis	0.110989444275	2017-09-09 11:53:07
1008279892518211_1705967586082768	tunis	0.16887856134	2017-09-08 00:06:25
1008279892518211_1704651529547707	tunis	0.144883327283	2017-09-06 18:42:53
1008279892518211_1704836032862590	benArous	0.109624815829	2017-09-06 22:19:26
1008279892518211_1705356502810543	tunis	0.109763135165	2017-09-07 11:34:08
1008279892518211_1705447179468142	tunis	0.100637309777	2017-09-07 13:41:28
1008279892518211_1704694906210036	tunis	0.112214155655	2017-09-06 19:40:56
1008279892518211_1704384009574459	tunis	0.153665621284	2017-09-06 13:45:36
1008279892518211_1704347249578135	benArous	0.116584304803	2017-09-06 12:56:58
1008279892518211_1703402699672590	kairouan	0.0994513795804	2017-09-05 15:11:17
1008279892518211_1704272606252266	tunis	0.0996755851939	2017-09-06 10:52:34
1008279892518211_1704205272925666	sousse	0.10176557743	2017-09-06 08:43:15
1008279892518211_1701980066481520	tunis	0.109698748371	2017-09-04 12:09:26
1008279892518211_1700568649955995	sfax	0.117180788722	2017-09-03 11:55:09
1008279892518211_1699105576768969	tunis	0.0999532508034	2017-09-02 13:23:14
1008279892518211_1699952476684279	ariana	0.105962127969	2017-09-03 00:41:54
1008279892518211_1699723756707151	tunis	0.10077884722	2017-09-02 21:30:09
1008279892518211_1699592480053612	tunis	0.104907028291	2017-09-02 19:39:30
1008279892518211_1699407143405479	ariana	0.0990351427072	2017-09-02 17:14:57
1008279892518211_1697576040255256	tunis	0.101566002872	2017-09-01 14:28:43
1008279892518211_1699247023421491	tunis	0.099814389826	2017-09-02 15:19:44
1008279892518211_1699161460096714	tunis	0.100921320745	2017-09-02 14:13:35
1008279892518211_1693083804037813	tunis	0.144513620989	2017-08-30 15:35:49
1008279892518211_1699072353438958	tunis	0.105111096229	2017-09-02 12:49:21
1008279892518211_1695522277127299	tunis	0.119119592205	2017-08-31 12:06:46
1008279892518211_1695881717091355	tunis	0.11606702015	2017-08-31 16:03:47
1008279892518211_1697441826935344	sousse	0.101341133471	2017-09-01 12:29:27
1008279892518211_1695852243760969	bizert	0.102095011362	2017-08-31 15:46:51
1008279892518211_1693810583965135	zaghouan	0.122102319838	2017-08-30 20:15:28
1008279892518211_1695811673765026	sousse	0.100217493523	2017-08-31 15:23:28
1008279892518211_1696672193678974	manouba	0.0987836314649	2017-09-01 01:01:53
1008279892518211_1695978957081631	nabeul	0.103133847169	2017-08-31 17:00:07
1008279892518211_1692328800779980	tunis	0.127670032041	2017-08-30 10:55:56
1008279892518211_1693964097283117	kef	0.157310815236	2017-08-30 21:37:00
1008279892518211_1688888251124035	tunis	0.181081692733	2017-08-29 02:47:29
1008279892518211_1685012618178265	tunis	0.15458669271	2017-08-27 22:02:51
1008279892518211_1691167910896069	benArous	0.116501822648	2017-08-30 00:40:38
1008279892518211_1690240824322111	kef	0.150974705693	2017-08-29 16:17:54
1008279892518211_1688566134489580	tunis	0.111975863422	2017-08-29 00:32:20
1008279892518211_1687302731282587	tunis	0.101096839849	2017-08-28 16:11:36
1008279892518211_1688238057855721	tunis	0.116934322675	2017-08-28 21:52:30
1008279892518211_1687120407967486	ariana	0.101268082132	2017-08-28 15:20:59
1008279892518211_1686420221370838	sousse	0.112042472711	2017-08-28 08:25:46
1008279892518211_1686961201316740	sousse	0.105232591216	2017-08-28 14:22:28
1008279892518211_1686764138003113	tunis	0.0997610591549	2017-08-28 12:46:48
1008279892518211_1683732684972925	nabeul	0.102431427087	2017-08-27 12:46:22
1008279892518211_1681583425187851	nabeul	0.0990123201567	2017-08-26 21:03:58
1008279892518211_1684720121540848	tunis	0.0991185661263	2017-08-27 19:27:26
1008279892518211_1676164895729704	sousse	0.159352153896	2017-08-25 00:22:09
1008279892518211_1684416134904580	sousse	0.100638367003	2017-08-27 17:20:35
1008279892518211_1683867941626066	nabeul	0.0983235268455	2017-08-27 13:47:04
1008279892518211_1674984565847737	sfax	0.141316444837	2017-08-24 15:43:42
1008279892518211_1683666644979529	sousse	0.0983607275999	2017-08-27 12:14:24
1008279892518211_1680754871937373	tunis	0.118433254447	2017-08-26 14:58:25
1008279892518211_1683352008344326	benArous	0.0991765863217	2017-08-27 10:01:40
