hour	count
2016-01-24T11	1
2016-01-25T22	1
2016-01-26T08	1
2016-01-26T20	1
2016-01-28T08	1
2016-01-29T13	1
2016-01-29T18	1
2016-01-29T19	1
2016-01-29T21	2
2016-01-30T11	1
2016-01-30T12	1
2016-01-31T03	1
2016-01-31T18	1
2016-02-01T21	1
2016-02-02T09	2
2016-02-05T07	2
2016-02-05T10	1
2016-02-09T22	1
2016-02-11T10	1
2016-02-11T11	1
2016-02-11T12	3
2016-02-11T14	1
2016-02-11T16	1
2016-02-12T11	1
2016-02-13T16	1
2016-02-15T08	1
2016-02-15T21	1
2016-02-17T15	1
2016-02-19T10	1
2016-02-19T12	1
2016-02-19T18	1
2016-02-20T13	1
2016-02-20T17	1
2016-02-21T21	1
2016-02-22T20	1
2016-02-23T07	1
2016-02-23T16	1
2016-02-23T19	1
2016-02-24T14	1
2016-02-25T07	1
2016-02-25T12	1
2016-02-25T13	1
2016-02-28T19	1
2016-02-29T14	1
2016-03-01T00	1
2016-03-01T11	1
2016-03-02T06	1
2016-03-02T15	1
2016-03-02T18	1
2016-03-03T08	1
2016-03-03T10	1
2016-03-03T14	1
2016-03-03T19	2
2016-03-06T07	1
2016-03-08T07	1
2016-03-08T09	1
2016-03-08T18	2
2016-03-08T20	1
2016-03-09T09	1
2016-03-09T11	1
2016-03-09T12	1
2016-03-09T16	1
2016-03-09T17	1
2016-03-11T13	1
2016-03-11T18	1
2016-03-13T10	1
2016-03-13T12	1
2016-03-13T14	1
2016-03-15T09	1
2016-03-16T10	1
2016-03-16T12	1
2016-03-16T19	1
2016-03-17T11	1
2016-03-17T15	1
2016-03-18T16	1
2016-03-21T16	1
2016-03-21T18	1
2016-03-22T11	1
2016-03-22T14	1
2016-03-22T20	1
2016-03-22T22	1
2016-03-22T23	1
2016-03-23T07	1
2016-03-23T13	1
2016-03-23T22	1
2016-03-24T00	1
2016-03-25T19	1
2016-03-26T15	1
2016-03-26T17	1
2016-03-27T08	1
2016-03-27T11	1
2016-03-29T14	1
2016-03-29T15	1
2016-04-01T06	1
2016-04-01T09	1
2016-04-01T14	1
2016-04-02T05	1
2016-04-02T20	2
2016-04-03T14	1
2016-04-03T21	1
2016-04-04T15	1
2016-04-04T19	1
2016-04-05T13	1
2016-04-06T07	1
2016-04-06T13	1
2016-04-07T10	1
2016-04-07T20	1
2016-04-08T07	1
2016-04-08T11	1
2016-04-08T13	1
2016-04-08T18	1
2016-04-09T19	1
2016-04-10T11	2
2016-04-10T18	2
2016-04-10T23	1
2016-04-11T11	1
2016-04-11T16	1
2016-04-11T19	1
2016-04-12T13	1
2016-04-13T13	2
2016-04-13T15	1
2016-04-14T06	1
2016-04-14T11	1
2016-04-14T19	1
2016-04-15T09	1
2016-04-15T15	1
2016-04-17T09	1
2016-04-17T21	2
2016-04-18T00	1
2016-04-19T06	1
2016-04-19T15	1
2016-04-19T17	2
2016-04-19T19	1
2016-04-20T08	1
2016-04-20T11	1
2016-04-21T08	1
2016-04-22T07	1
2016-04-23T09	1
2016-04-23T17	1
2016-04-24T07	1
2016-04-24T17	1
2016-04-25T23	1
2016-04-27T11	1
2016-04-27T16	1
2016-04-27T18	1
2016-04-27T21	1
2016-04-28T15	1
2016-04-28T20	1
2016-04-30T20	1
2016-05-03T06	1
2016-05-03T10	1
2016-05-03T14	1
2016-05-03T17	1
2016-05-03T18	1
2016-05-04T06	1
2016-05-05T12	2
2016-05-06T07	1
2016-05-06T08	1
2016-05-06T14	1
2016-05-06T19	1
2016-05-07T12	1
2016-05-07T20	1
2016-05-08T08	1
2016-05-08T10	1
2016-05-08T12	1
2016-05-08T17	1
2016-05-09T23	1
2016-05-10T08	1
2016-05-11T08	1
2016-05-11T10	1
2016-05-11T12	1
2016-05-11T13	1
2016-05-11T18	1
2016-05-11T19	1
2016-05-11T20	1
2016-05-12T10	1
2016-05-13T07	1
2016-05-13T19	1
2016-05-14T06	1
2016-05-14T07	1
2016-05-15T16	1
2016-05-17T12	1
2016-05-18T19	1
2016-05-19T22	1
2016-05-24T21	1
2016-05-25T14	1
2016-05-25T20	1
2016-05-27T13	1
2016-05-27T14	1
2016-05-27T15	1
2016-05-28T23	1
2016-05-30T06	1
2016-05-31T08	1
2016-06-01T11	1
2016-06-01T19	1
2016-06-02T05	1
2016-06-02T17	1
2016-06-02T18	1
2016-06-04T11	1
2016-06-04T21	1
2016-06-06T21	1
2016-06-07T09	1
2016-06-07T12	1
2016-06-07T16	2
2016-06-07T23	1
2016-06-09T23	1
2016-06-11T15	1
2016-06-11T16	1
2016-06-13T18	1
2016-06-16T23	1
2016-06-20T00	1
2016-06-20T11	1
2016-06-20T12	1
2016-06-21T14	1
2016-06-21T17	1
2016-06-21T18	1
2016-06-22T09	1
2016-06-23T11	1
2016-06-23T14	1
2016-06-23T19	1
2016-06-25T13	1
2016-06-25T16	1
2016-06-25T17	1
2016-06-25T19	1
2016-06-26T21	1
2016-06-26T22	1
