type	by	post_id	post_link	post_message	picture	full_picture	link	link_domain	post_published	post_published_unix	post_published_sql	likes_count_fb	comments_count_fb	reactions_count_fb	shares_count_fb	engagement_fb	comments_retrieved	comments_base	comments_replies	comment_likes_count	rea_NONE	rea_LIKE	rea_LOVE	rea_WOW	rea_HAHA	rea_SAD	rea_ANGRY	rea_THANKFUL	place
photo	post_user_1008279892518211	1008279892518211_1205081712838027	https://www.facebook.com/1008279892518211/posts/1205081712838027	صفاقس طريق منزل شاكر كم 2 امام مدخل حي السرور منذ البارحه 3 جوان	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/13327533_10206617214853332_656930158387544197_n.jpg?oh=d027b5855d89f968caa37b87f94a5812&oe=5A4379DE	https://scontent.xx.fbcdn.net/v/t1.0-0/p180x540/13327533_10206617214853332_656930158387544197_n.jpg?oh=b3ae9540fd8bb997dc97e3172a7718b7&oe=5A1423A2	https://www.facebook.com/photo.php?fbid=10206617214853332&set=gm.1205081712838027&type=3	facebook.com	2016-06-04T11:04:01+0000	1465038241	2016-06-04 13:04:01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	sfax
photo	post_user_1008279892518211	1008279892518211_1203695279643337	https://www.facebook.com/1008279892518211/posts/1203695279643337	Fin mai 2016 la plage de sidi bou said la suite : la société civile a eu raison de se mobiliser :))) après un avertissement de l APAL   le commanditaire du carnage écologique (du genre je repare ma maison en detruisant le littoral au passage) a du refermer la digue du port en épargnant la plage et a du  passer par la route pour acheminer bétonneuse et trax...tahya tounes lel ness el kol..no pasaran...la synergie de groupe est magique...ne baissons jamais les bras..TAHYA TOUNES	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/13321844_10154236538326103_484726367133900950_n.jpg?oh=da3a697a29e5dcc949a7ed3fb25345da&oe=5A13BA6E	https://scontent.xx.fbcdn.net/v/t1.0-0/p180x540/13321844_10154236538326103_484726367133900950_n.jpg?oh=bd1a461d9d070ce7bd4009a95fa264e2&oe=5A440E12	https://www.facebook.com/photo.php?fbid=10154236538326103&set=gm.1203695279643337&type=3	facebook.com	2016-06-02T05:08:05+0000	1464844085	2016-06-02 07:08:05	4	2	4	0	6	2	2	0	1	0	4	0	0	0	0	0	0	tunis
photo	post_user_1008279892518211	1008279892518211_1204068596272672	https://www.facebook.com/1008279892518211/posts/1204068596272672	في ما يلي البرنامج الكامل للدور الاول لنهائيات كأس أوروبا للأمم في كرة القدم، المقررة في فرنسا ما بين 10 جوان و10 جويلية 2016 (المباريات بتوقيت تونس) :  https://www.facebook.com/Coach.Sportif.Tunisie/photos/a.1603837949865801.1073741828.1603813633201566/1716421428607452/?type=3&theater	https://scontent.xx.fbcdn.net/v/t1.0-0/q85/s130x130/13343021_1716421428607452_9167486716245295014_n.jpg?oh=a111f84dc5b62cb06af6cf5db92a3877&oe=5A5B6117	https://scontent.xx.fbcdn.net/v/t31.0-8/q83/s720x720/13316843_1716421428607452_9167486716245295014_o.jpg?oh=a134a08b9c739676cced8c366e4649db&oe=5A41EA98	https://www.facebook.com/Coach.Sportif.Tunisie/photos/a.1603837949865801.1073741828.1603813633201566/1716421428607452/?type=3	facebook.com	2016-06-02T18:22:59+0000	1464891779	2016-06-02 20:22:59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	tunis
video	post_user_1008279892518211	1008279892518211_1204055856273946	https://www.facebook.com/1008279892518211/posts/1204055856273946	L encouragement  ça peut vraiment changer une vie ! voilà ma nouvelle série cartoon tunisienne  ana halouma    ma première expérience <3 pour ramadan enjoy it please <3 https://www.facebook.com/Ana-Halouma-1094336880627655/?ref=bookmarks https://www.facebook.com/AhlaSbehByMosaiqueFM/videos/1718740698343894/	https://scontent.xx.fbcdn.net/v/t15.0-10/p130x130/13177034_1718742551677042_865184795_n.jpg?oh=2f20327c32fd52b1e9fed341e1a653aa&oe=5A16B1D7	https://scontent.xx.fbcdn.net/v/t15.0-10/13177034_1718742551677042_865184795_n.jpg?oh=e90459d93a74be06a4d7255a0dc66da6&oe=5A562DB0	https://www.facebook.com/AhlaSbehByMosaiqueFM/videos/1718740698343894/	facebook.com	2016-06-02T17:59:51+0000	1464890391	2016-06-02 19:59:51	3	0	3	0	3	0	0	0	0	0	3	0	0	0	0	0	0	tunis
photo	post_user_1008279892518211	1008279892518211_1203367416342790	https://www.facebook.com/1008279892518211/posts/1203367416342790	Ou va le civisme des tunisiens !!!!😭😭😭😭🙈🙈🙈🙈🙈😡😡😡😡😡😡😡😱😱😱😱😱😱en plein entre ville la rue du Maroc !!!!	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/13315773_1114554988565793_8410378221148734981_n.jpg?oh=3e8c97a5d227caa9ea97425ad4df8cd0&oe=5A4A3295	https://scontent.xx.fbcdn.net/v/t1.0-0/p180x540/13315773_1114554988565793_8410378221148734981_n.jpg?oh=90b882d8ecf06b44c1cf290736e537e7&oe=5A453EE9	https://www.facebook.com/photo.php?fbid=1114554988565793&set=gm.1203367416342790&type=3	facebook.com	2016-06-01T19:21:14+0000	1464808874	2016-06-01 21:21:14	4	5	10	6	21	5	5	0	0	0	4	0	0	0	1	5	0	tunis
photo	post_user_1008279892518211	1008279892518211_1203137276365804	https://www.facebook.com/1008279892518211/posts/1203137276365804	النيابة الخصوصية بالكرم في سبات عميق. شارع قرطاج عين زغوان لا تستطيع المرور لأن بائع مواد البناء  يستعمل  حافة الطريق   للبيع.	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/13332923_1756987927892176_743477656543854587_n.jpg?oh=15ef5134a4961597a1503cfa7b9b15ac&oe=5A56FBBF	https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/13332923_1756987927892176_743477656543854587_n.jpg?oh=061a9079a403ed913380480b6c81a357&oe=5A480D40	https://www.facebook.com/photo.php?fbid=1756987927892176&set=gm.1203137276365804&type=3	facebook.com	2016-06-01T11:45:28+0000	1464781528	2016-06-01 13:45:28	3	2	5	1	8	1	1	0	1	0	3	0	0	0	0	2	0	zaghouan
photo	post_user_1008279892518211	1008279892518211_1202350699777795	https://www.facebook.com/1008279892518211/posts/1202350699777795	و لكم التعليق...مباشرة من نهج بنزرت قلب العاصمة	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/13343131_10209391388089728_2537506611000304872_n.jpg?oh=394a29153c3d02e382cfd29fd58040c3&oe=5A6093DE	https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/13343131_10209391388089728_2537506611000304872_n.jpg?oh=3bd43054ab3e0211f721700cd5dbafb8&oe=5A5ED1D3	https://www.facebook.com/photo.php?fbid=10209391388089728&set=gm.1202350699777795&type=3	facebook.com	2016-05-31T08:30:55+0000	1464683455	2016-05-31 10:30:55	15	18	21	4	43	18	12	6	17	0	15	0	1	2	0	3	0	bizert
photo	post_user_1008279892518211	1008279892518211_1201616749851190	https://www.facebook.com/1008279892518211/posts/1201616749851190	Kchouk Aida shared ‎من أجل قانون لمكافحة الفقر والاستبعاد الاجتماعي‎ s album to the group: WINOU ETROTTOIR???...	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/13263873_1096567537082012_5184440461198874332_n.jpg?oh=c33f8d7b74b611c246e422ef3adc6d6f&oe=5A174A1B	https://scontent.xx.fbcdn.net/v/t1.0-9/13263873_1096567537082012_5184440461198874332_n.jpg?oh=0017b888ae596c3540c17d9d380167e9&oe=5A167D70	https://www.facebook.com/loi.contre.pauvrete.tunisie/photos/a.1096567493748683.1073742037.132590420146400/1096567537082012/?type=3	facebook.com	2016-05-30T06:28:55+0000	1464589735	2016-05-30 08:28:55	9	23	19	0	42	20	19	1	18	0	9	0	0	0	2	8	0	kef
link	post_user_1008279892518211	1008279892518211_1200805636598968	https://www.facebook.com/1008279892518211/posts/1200805636598968	https://secure.avaaz.org/fr/petition/Le_gouvernement_tunisien_Commission_Internationale_Stop_au_massacre_massif_des_chiens_en_roumanie/?snqxNkb	https://external.xx.fbcdn.net/safe_image.php?d=AQD2tlajszO1sG9G&w=130&h=130&url=https%3A%2F%2Favaazdo.s3.amazonaws.com%2F14642635275746e367b10eb0.20912699original_5746d95206613_600x297.jpeg&cfs=1&_nc_hash=AQBBbcPqh9hi2PKm	https://external.xx.fbcdn.net/safe_image.php?d=AQBSwn__Cqmgxv3D&url=https%3A%2F%2Favaazdo.s3.amazonaws.com%2F14642635275746e367b10eb0.20912699original_5746d95206613_600x297.jpeg&_nc_hash=AQDhv5XjdgO-Nznx	https://secure.avaaz.org/fr/petition/Le_gouvernement_tunisien_Commission_Internationale_Stop_au_massacre_massif_des_chiens_en_roumanie/?snqxNkb	secure.avaaz.org	2016-05-28T23:14:49+0000	1464477289	2016-05-29 01:14:49	3	8	3	0	11	8	7	1	2	0	3	0	0	0	0	0	0	tunis
video	post_user_1008279892518211	1008279892518211_1199856776693854	https://www.facebook.com/1008279892518211/posts/1199856776693854	اي نعم هذا هو الجهل، هذا هو التخلف عالاقل في الخارج يزرقولهم بش ما يولدوش اما هنا نقتلوهم و نعذبوهم و ناكدلكم الي 90% يتعذبو كيما هكا خاطر صارت الحكاية قدام دارنا مرة و سي العون ما حب يهبط مالكرهبة و يعاود يضرب الكلبة بش تموت و ما تتعذبش الا ما عاركناه  ابتسم انك في تونس...	https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/12719996_495815930612006_1603377081_n.jpg?oh=b49a8c6c93f23b9eb3de0df8e0807933&oe=5A4171B6	https://scontent.xx.fbcdn.net/v/t15.0-10/12719996_495815930612006_1603377081_n.jpg?oh=82946f1e9d0b38a9a5a8b7a4b9c16665&oe=5A56EB83	https://www.facebook.com/420253548168245/videos/495815787278687	facebook.com	2016-05-27T13:42:38+0000	1464356558	2016-05-27 15:42:38	4	24	15	0	39	22	19	3	5	0	4	0	0	0	6	5	0	tunis
