type	by	post_id	post_link	post_message	picture	full_picture	link	link_domain	post_published	post_published_unix	post_published_sql	likes_count_fb	comments_count_fb	reactions_count_fb	shares_count_fb	engagement_fb	comments_retrieved	comments_base	comments_replies	comment_likes_count	rea_NONE	rea_LIKE	rea_LOVE	rea_WOW	rea_HAHA	rea_SAD	rea_ANGRY	rea_THANKFUL	place
photo	post_user_1008279892518211	1008279892518211_1141272002552332	https://www.facebook.com/1008279892518211/posts/1141272002552332	Rafik Al Falah shared ‎بلدية أريانة‎ s post to the group: WINOU ETROTTOIR???...	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/12321670_1105158386183727_3651816909856059587_n.jpg?oh=851c99fa713bfd8d04d7b46e545c4fe2&oe=5A550C56	https://scontent.xx.fbcdn.net/v/t1.0-9/12321670_1105158386183727_3651816909856059587_n.jpg?oh=4bfdec059baac49cff6c4c53c6ec1d0f&oe=5A4C623D	https://www.facebook.com/CommuneAriana/photos/a.965763540123213.1073741839.188515211181387/1105158386183727/?type=3	facebook.com	2016-03-03T19:52:44+0000	1457034764	2016-03-03 20:52:44	98	13	100	0	113	12	12	0	8	0	95	2	0	0	0	0	0	ariana
photo	post_user_1008279892518211	1008279892518211_1140965339249665	https://www.facebook.com/1008279892518211/posts/1140965339249665	بعد مقفول القيروان يأتيكم كاس العصير  ببني خلاد	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/12799295_819268264849827_5261177017910098584_n.jpg?oh=73f3bd3d4e6fd7db7d2a7d7ca06e59f0&oe=5A4A69B3	https://scontent.xx.fbcdn.net/v/t1.0-9/q83/s720x720/12799295_819268264849827_5261177017910098584_n.jpg?oh=323727318a163ec28877455b6044a24b&oe=5A484599	https://www.facebook.com/MunicialiteDeBeniKhalled/photos/a.294350577341601.60786.294347697341889/819268264849827/?type=3	facebook.com	2016-03-03T10:42:17+0000	1457001737	2016-03-03 11:42:17	25	17	25	0	42	17	16	1	3	0	25	0	0	0	0	0	0	kairouan
photo	post_user_1008279892518211	1008279892518211_1140936849252514	https://www.facebook.com/1008279892518211/posts/1140936849252514	Samira Slimen shared ‎الشرطة البلدية التونسية police municipale tunisie‎ s album to the group: WINOU ETROTTOIR???...	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/12019884_707553126044884_8193055620756062601_n.jpg?oh=07bc601c71b761faadebcf18ecc84196&oe=5A54AF70	https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/12019884_707553126044884_8193055620756062601_n.jpg?oh=e04ed1009dd6b7060b4e33789320d7a8&oe=5A5C258F	https://www.facebook.com/policemunicpaletunisie/photos/a.707553049378225.1073741890.112876285512574/707553126044884/?type=3	facebook.com	2016-03-03T08:45:33+0000	1456994733	2016-03-03 09:45:33	8	3	8	0	11	3	3	0	0	0	7	0	0	0	0	0	0	tunis
photo	post_user_1008279892518211	1008279892518211_1141251465887719	https://www.facebook.com/1008279892518211/posts/1141251465887719	جزاكم الله الف خير لا تبخلو فى نقلها فإن ثوابها عظيم  ادعوا به الآن .. (اللهم إني أسألك بأسمائك الحسنى كلها، وأسألك باسمك العظيم الأعظم الأعزّ الأجلّ الأكرم أن تستجيب لي) : 🌸اللهم أنت 【الملك】: ارزقني في الجنة ملكا لا ينفد 🌼 🌸اللهم أنت 【السلام】: أسألك السلامة في ديني ودنياي وآخرتي🌼  🌸اللهم أنت 【المُؤَمِّن】: أمنّي فزع يوم القيامة 🌼 🌸اللهم أنت 【العزيز】: أسألك العزة في الدنيا والآخرة 🌼 🌸اللهم أنت 【الوالي】 : تولّ أمري بذاتك ولاتتركني لذاتي 🌼 🌸اللهم أنت 【السميع】: اجعلني أستمع لأفضل القول وأتبّع أحسنه 🌼 🌸اللهم أنت 【المصوّر ] : صوّر لي نعيم الجنة عند الموت 🌼 🌸اللهم أنت 【الرؤوف】: ارأف لحالي وتجاوز عن سيئاتي 🌼 🌸اللهم أنت【الخافض】أعنّي على خفض جناح الذلّ من الرحمة لوالديّ 🌼 🌸اللهم أنت【الحسيب】أدخلني الجنة بدون حساب أو عقاب🌼  🌸اللهم أنت 【الباعث】 : ابعثني على الإيمان بك، وبكتابك، وبرسولك ﷺ 🌼 🌸اللهم أنت 【الباسط】: ابسط لي الرزق سهلا يسيرا طول عمري 🌼 🌸اللهم أنت 【الرشيد】 : ألهمني الرشد في القول والعمل 🌼 🌸اللهم أنت 【الغني】 : أغنني بفضلك عمن سواك🌼 🌸اللهم أنت 【الجميل】: جمّلني بعظيم سترك في الدنيا والآخرة 🌼 🌸اللهم أنت 【الحكم】 : احكم بيني وبين من ظلمني وعاداني 🌼 🌸اللهم أنت 【البر】 : أسألك برا بوالدي لاينقطع إلى يوم الدين 🌼 🌸اللهم أنت 【التواب】 : أسألك توبة نصوح إلى يوم أن ألقاك 🌼 🌸اللهم أنت 【الحق】 : اجعلني من أهل الحق والاستقامة 🌼 🌸اللهم أنت 【القيوم】 : أقِم لساني وقلبي وعملي على الحق 🌼 🌸اللهم أنت 【اللطيف】: الطف بي وبذريتي بلطفك الخفي 🌼 🌸اللهم أنت 【المحيي】 : احيي قلبي بذكرك ابدآماأحييتني🌼 🌸اللهم أنت 【الكريم】 : أكرمني بلقائك على أفضل حال ترضاه لأحد من أوليائك 🌼 🌸اللهم أنت 【البارئ】 : أسألك براءة من كل عيب ظاهراً أو باطناً 🌼 🌸اللهم أنت 【الرزّاق】 : ارزقني من حيث أحتسب ومن حيث لا أحتسب 🌼 🌸اللهم أنت 【الوهاب】: هب لي القناعة وسعة الصدر وطول العمرفيمايرضيك يارب العالمين🌼 🌸اللهم أنت 【الجامع】 : اجمعني وأهلي وذريتي برسولك الكريم في الجنة 🌼 🌸اللهم أنت 【النافع】 : انفعني بالذكر وتلاوةالقرآن 🌼 🌸اللهم أنت 【الرقيب】 : أسألك رقابة على نفسي تحجبني عن كل سوء ومعصيه🌼  🌸اللهم أنت 【المعزّ】 : أسألك عزّاً ليس بعده ذلّة🌼  🌸اللهم أنت 【القوي】 : قوّني على الصلاة والصيام والقيام 🌼 🌸اللهم أنت 【العفو】 : اعفُ عني عفواً شاملاً كاملاً برحمتك ياالله🌼 🌸اللهم أنت 【النور】 : اجعل لي من نورك نصيباً، وأتمم لي نوري، وأخرجني من مجاهل الظلمات 🌼 🌸اللهم أنت 【الفتاح】 : افتح لي بخير في أموري كلها في الدنيا والآخرة 🌼 🌸اللهم أنت 【العدل】 : أسألك العدل في النطق والفعل والعمل 🌼 🌸اللهم أنت 【القادر】 : قدّر لي حُسن الخاتمة 🌼 🌸اللهم أنت 【الغفور】 : اغفر لي ولأهلي ولذريتي وللمسلمين جميعاً مغفرةً عامة ً تامّة🌼ً  🌸اللهم أنت 【المقدّم】 : قدّم لي الخير والبركات فيماترضاه لنا في الدنياناوألأخره🌼 🌸اللهم أنت 【الأول】 : احشرني في زمرة الأولين المتقين 🌼 🌸اللهم أنت 【المعيد】 : عد عليّ بالتوبة والرحمة والغفران🌼  🌸اللهم أنت 【العليّ】 : أسألك العلوّ في الجنة والفردوس🌼  🌸اللهم أنت 【الشكور】: ألهمني شكرك ليل نهار🌼  🌸اللهم أنت 【الوكيل】 : لا تكلني إلى نفسي طرفة عين 🌼 🌸اللهم أنت 【القهّار】 : اقهر شيطاني وأعنّي عليه🌼 🌸اللهم أنت 【الواسع】: أسألك رزقاً واسعاً لا ينقطع أبداً ولا تجعله فتنةً لي في الدنيا🌼 🌸اللهم أنت 【الرحيم】 : ارحم ضعفي وذليّ وقلّة حيلتي 🌼 🌸اللهم أنت 【الكبير】 : اجعلني في عيني صغيراً وفي أعين الناس كبيرا 🌼 🌸اللهم أنت 【البصير】: أسألك بصيرة في ديني ودنياي 🌼 🌸اللهم أنت 【الحكيم】 : أسألك الحكمة والموعظة الحسنة 🌼 🌸اللهم أنت 【الرافع】 : ارفع ذكري في السماوات والأرض 🌼 🌸اللهم أنت 【القابض】: اقبض نفسي على كلمة لا إله إلا اللّه محمدرسول الله صلي الله عليه وسلم 🌼 🌸اللهم أنت 【الحفيظ】: احفظني وأولادي وأهلي وذريتي من نزغات الشياطين 🌼 🌸اللهم أنت 【المنّان】 : امنن عليّ من فضلك وعطاياك 🌼 🌸اللهم أنت 【الهادي】 : اهدني إلى صراطك المستقيم 🌼 🌸اللهم أنت 【الولي】 : اجعلني من أوليائك الصالحين🌼  🌸اللهم أنت 【المعين】 : أعنّي على طاعتك وجنّبني معصيتك 🌼 🌸اللهم أنت 【العليم】 : أسألك علماً ينفعني عندك يوم القيامة🌼  🌸اللهم أنت 【المانع】 : امنع جوارحي عن اجتراح معاصيك 🌼 🌸اللهم أنت 【الودود】 : ارزقني ودّك، و ودّ نبيك، وعبادك الصالحين🌼 🌸اللهم أنت 【الجليل】 : اكسني من جلالك يوم ألقاك🌼 🌸اللهم أنت 【العظيم】 : عظّم محبتك ومحبة نبيك الكريم في قلبي 🌼 🌸اللهم أنت 【الوارث】 : اجعلني وأهلي من ورثة جنّة النعيم 🌼 🌸اللهم أنت 【المحصي】: نجني من الحساب والعقاب والعذاب يوم القيامة برحمتك وان ت ارحم الراحمين🌼 🌸اللهم أنت 【الحميد】 : املأ قلبي حمداً وشكراً لك 🌼 صدقه جاريه لي ولوالدي ولذريتي ولامواتنا واموات المسلمين كافه نسأل الله القبول🌼🌸  جزاكم الله الف خير❤	https://scontent.xx.fbcdn.net/v/t1.0-0/p130x130/12512435_985289831524640_5206251310204695637_n.jpg?oh=0cb6f309147992e3d5e97d00e0ceccc5&oe=5A5DB402	https://scontent.xx.fbcdn.net/v/t1.0-9/12512435_985289831524640_5206251310204695637_n.jpg?oh=7042030f90fb87ef7b1c964252634b8e&oe=5A400C8C	https://www.facebook.com/photo.php?fbid=985289831524640&set=gm.1141251465887719&type=3	facebook.com	2016-03-03T19:01:41+0000	1457031701	2016-03-03 20:01:41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	kef
link	post_user_1008279892518211	1008279892518211_1141032915909574	https://www.facebook.com/1008279892518211/posts/1141032915909574	Objet: SOS PARC DU BELVEDERE  signez      TOUCHE PAS A MON Parc  le Belvédère UN PATRIMOINE EN DANGER.      SOS PARC DU BELVEDERE TUNIS(IE)      CONTRE TOUTE ATTENTE et alors que le dossier de classement du parc du Belvédère est en cours de finalisation  nous constatons que :      1°. Le Plan d aménagement Urbain (PAU) de la commune de Tunis  affiché dans les arrondissements municipaux  projette l’installation d’une voie express (4 voies) qui traverse le Belvédère et tronque son paysage. La double voie part du rond point Beau site/notre dame jusqu’à l avenue des Etats Unis en frôlant Jbel Lamar  El omrane (niveau lycée)   longe le zoo  et écrase à jamais la première porte pour se jeter au niveau du croisement de l avenue de la liberté/av des Etats Unis. Ce projet exhumé affectera négativement l’équilibre de l’écosystème  détruira des composantes végétales et architecturales de ce patrimoine  isolera les populations riveraines  menacera la sécurité des usagers et altérera la mémoire collective des tunisiens. NOUS EXPRIMONS NOTRE FERME OPPOSITION A CE PROJET.      2°. Le Ministère de l équipement  de l habitat et de l Aménagement du Territoire lance  en même temps  un Appel d Offres avec concours international intitulé  projet de revalorisation du parc Belvédère et de ses alentours . NOUS REJETONS UNE TELLE PROCEDURE  PRECIPITEE !..  NON INCLUSIVE ET ANTICONSTITUIONNELLE qui  n’intègre pas les mécanismes de la démocratie participative et les principes de la démocratie ouverte  la participation des citoyens et de la société civile à la préparation des projets de développement et d’aménagement du territoire et le suivi de leur exécution comme stipulé dans l’article 139 de la Constitution.      Association des Amis du Belvédère (AAB) / Merci de diffuser cet appel auprès du plus large public.  ! Mobilisons-nous !      pour s opposer à ce projet signez la pétition sur le web       http://www.petitions24.net/forum/159088/start/25      et si possible signer le registre des doléances dans l un des arrondissements municipaux de Tunis       Tous pour le Belvédère  le Belvédère pour tous	https://external.xx.fbcdn.net/safe_image.php?d=AQAi2AOYNZr0j_Pu&w=130&h=130&url=http%3A%2F%2Fwww.petitions24.net%2Fuploads%2Fimages%2Ftouche_pas_belvedere_0.jpg&cfs=1&_nc_hash=AQARFXQs57w1bRmY	https://external.xx.fbcdn.net/safe_image.php?d=AQCVK0brgRfjbohL&url=http%3A%2F%2Fwww.petitions24.net%2Fuploads%2Fimages%2Ftouche_pas_belvedere_0.jpg&_nc_hash=AQBrs3SMVhvQeLxc	http://www.petitions24.net/forum/159088/start/25	petitions24.net	2016-03-03T14:09:28+0000	1457014168	2016-03-03 15:09:28	15	0	17	0	17	0	0	0	0	0	15	0	1	0	0	1	0	tunis
photo	post_user_1008279892518211	1008279892518211_1139961506016715	https://www.facebook.com/1008279892518211/posts/1139961506016715	مشهد يتعاود كل صباح في أريانة  ،  يدخلو في Sens interdit ويتسببو في الفوضى وتعطيل حركة المرور !!!!	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/12795343_988081841228960_1354894769962187244_n.jpg?oh=293cb13bb197064dceccc53ce11539b5&oe=5A176E6A	https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/12795343_988081841228960_1354894769962187244_n.jpg?oh=7d9ef221ec935a91e23dc4904536fcd3&oe=5A546495	https://www.facebook.com/photo.php?fbid=988081841228960&set=gm.1139961506016715&type=3	facebook.com	2016-03-01T11:18:15+0000	1456831095	2016-03-01 12:18:15	32	10	41	37	88	10	9	1	1	0	32	0	0	0	1	8	0	ariana
photo	post_user_1008279892518211	1008279892518211_1140679905944875	https://www.facebook.com/1008279892518211/posts/1140679905944875	Gerome Legrand shared ‎المنستير بيتنا‎ s photo to the group: WINOU ETROTTOIR???...	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/12798937_501758653337160_9126859817334223020_n.jpg?oh=f2c20f2d5c6359222a963efce75f7659&oe=5A5106BB	https://scontent.xx.fbcdn.net/v/t1.0-9/q87/s720x720/12798937_501758653337160_9126859817334223020_n.jpg?oh=f53da2293818123108d628481d1de9a6&oe=5A54AD2C	https://www.facebook.com/311882805658080/photos/a.311894145656946.1073741828.311882805658080/501758653337160/?type=3	facebook.com	2016-03-02T18:55:20+0000	1456944920	2016-03-02 19:55:20	4	2	8	0	10	2	2	0	0	0	4	0	0	2	0	2	0	monastir
photo	post_user_1008279892518211	1008279892518211_1140604012619131	https://www.facebook.com/1008279892518211/posts/1140604012619131	Cité jardin 02//03/2016 sfax	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/12794570_1026059054104214_2062281316313411607_n.jpg?oh=b9e352c05bc6f48913c8c5846a05b5cc&oe=5A43A154	https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/12794570_1026059054104214_2062281316313411607_n.jpg?oh=518612de130b5191fe3c079177f862c0&oe=5A60D741	https://www.facebook.com/photo.php?fbid=1026059054104214&set=gm.1140604012619131&type=3	facebook.com	2016-03-02T15:52:44+0000	1456933964	2016-03-02 16:52:44	5	3	9	0	12	3	2	1	4	0	5	0	0	0	0	4	0	sfax
photo	post_user_1008279892518211	1008279892518211_1140404142639118	https://www.facebook.com/1008279892518211/posts/1140404142639118	Jamel Mouhli shared ‎الحملة الشعبية للقضاء على شركات المناولة للبترول في تونس‎ s post to the group: WINOU ETROTTOIR???...	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/12800235_674150066021713_302390671236491151_n.jpg?oh=da46cd3196d7729e3361d3840cd74529&oe=5A3FB176	https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/12800235_674150066021713_302390671236491151_n.jpg?oh=b334ac0b69119722e406a22a24447af3&oe=5A4CFC81	https://www.facebook.com/endopetrole/photos/a.328224980614225.1073741828.322844171152306/674150066021713/?type=3	facebook.com	2016-03-02T06:14:17+0000	1456899257	2016-03-02 07:14:17	2	0	2	0	2	0	0	0	0	0	2	0	0	0	0	0	0	tunis
photo	post_user_1008279892518211	1008279892518211_1139546522724880	https://www.facebook.com/1008279892518211/posts/1139546522724880	باب جزيرة صحيح هذيكة في الصيف اما امشي شوف كل يوم بعد مايروحو النصابة هذكا حال تونس كل يوم باب الجزيرة باب بحر شاغل ديكول الباسج برشلونة وما ادراك ما برشلونة اهبط بعد الستة واتفرج والمشكلة الثانية بعد البلدية الناس الي ماتلمش وسخها لايزي بلاش رخصة وزيد الوسخ	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/12670926_982330201802426_1757991639224035892_n.jpg?oh=9659ce03c80f181ab163d5a6c838c887&oe=5A5A16DB	https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/12670926_982330201802426_1757991639224035892_n.jpg?oh=94c5bc2f4e08b0a28fbce9542feceb83&oe=5A5E0A24	https://www.facebook.com/photo.php?fbid=982330201802426&set=gm.1139546522724880&type=3	facebook.com	2016-02-29T14:40:42+0000	1456756842	2016-02-29 15:40:42	71	66	92	87	245	65	50	15	37	0	69	1	0	0	4	16	0	tunis
