type	by	post_id	post_link	post_message	picture	full_picture	link	link_domain	post_published	post_published_unix	post_published_sql	likes_count_fb	comments_count_fb	reactions_count_fb	shares_count_fb	engagement_fb	comments_retrieved	comments_base	comments_replies	comment_likes_count	rea_NONE	rea_LIKE	rea_LOVE	rea_WOW	rea_HAHA	rea_SAD	rea_ANGRY	rea_THANKFUL	place
link	post_user_1008279892518211	1008279892518211_1610387215640806	https://www.facebook.com/1008279892518211/posts/1610387215640806	Apparement on fait du bruit :) Article paru dans LEMONDE ce matin  En Tunisie  la guerre des trottoirs est déclarée Un mouvement citoyen baptisé Winou Etrottoir (« Où est le trottoir ? ») bouscule les autorités en menant la bataille contre l’occupation sauvage des espaces publics. Par Frédéric Bobin (Tunis  correspondant) LE MONDE Le 30.06.2017 à 15h05   LETTRE DE TUNIS  C’est juste un exemple  comme ça. A la sortie de La Marsa  sur la route de Gammarth  il y a des frondaisons de bougainvilliers et une vue plongeante sur la mer turquoise. C’est l’univers enchanté des banlieues nord de Tunis  havre de fraîcheur bien loin de la chaleur suffocante de la médina du centre-ville. L’endroit n’est pourtant pas aussi civil qu’il en a l’air. Pour preuve  cette terrasse d’un café qui mange le trottoir. Sous une bâche jaune qui se gondole sous le vent  tables et chaises ont conquis l’espace  obligeant les piétons à contourner l’entrave sur la voie. Rien de très grave en soi  mais la liberté que s’est arrogée le propriétaire bafoue la loi. « Un arrêté de démolition a été pris par la mairie  mais il n’est pas exécuté » : Sahbi Gorgi peste. L’architecte quadragénaire n’en finit pas de fulminer contre le laisser-aller  le coupable laxisme des autorités face à une urbanité tunisienne défigurée par les empiétements illicites  cette sournoise poussée conquérante d’intérêts privés au détriment du collectif. Quand Sahbi Gorgi joue au guide du côté de La Marsa et de Gammarth  la promenade inflige le tournis. Il pointe les mille et une infractions au code de l’urbanisme : immeubles au nombre d’étages trop élevé  lots à la densité de bâti excessive  habitat champignonnant sur des terrains inconstructibles  villas s’appropriant indûment une partie de la plage… « Où est donc l’Etat ? »  tempête Sahbi Gorgi. Sentiment d’injustice « Coup de gueule » : la formule lui plaît bien et il la répète souvent. Il y a deux ans  il a poussé un gros « coup de gueule » donc  en lançant avec une bande d’amis un groupe Facebook intitulé Winou Etrottoir ? (« Où est le trottoir ? »). Au début  il ne s’agissait que d’un mur où chacun était invité à afficher des photos d’incivilités sur la voirie et autres occupations abusives de l’espace public. Au fil des mois  le succès a été fulgurant. La page s’emplit au quotidien de clichés et de commentaires sur des voitures garées en double file  des trottoirs condamnés par des commerces  des décharges sauvages  des égouts se déversant en mer  etc.    Avec plus de 83 000 inscrits  Winou Etrottoir est devenu un véritable mouvement. Il a rejoint la myriade d’associations citoyennes qui imprime à la transition démocratique tunisienne sa puissante singularité. Cet après-midi-là  autour d’un café d’un salon coquet de La Marsa  Sahbi Gorgi a invité deux de ses comparses de Winou Etrottoir pour évoquer l’essor du mouvement : Slim Meherzi  médecin pédiatre  et Emna Bchir  professeure d’architecture. « Vous allez penser que nous sommes tous des bourgeois de La Marsa  anticipe M. Meherzi. Oui  les membres fondateurs du mouvement le sont. Mais les témoignages qui affluent sur la page Facebook viennent de toute la Tunisie  et même surtout des régions intérieures et rurales. Car ce sont elles qui souffrent le plus des violations de la loi. Nous  nous sommes les nantis qui râlons et qui souffrons le moins. » Le docteur Meherzi  grand échalas qui fut naguère un champion de volley-ball  ne se cache pas derrière son petit doigt. S’il dénonce avec ses amis de Winou Etrottoir le laxisme des autorités  c’est que le « deux poids deux mesures » lui semble socialement explosif. « Les autorités vont démanteler l’étal d’un petit marchand ambulant mais rester passives devant un puissant qui achète son droit à contourner la loi. Cette différence de traitement engendre la haine  c’est dangereux. » En cela  Winou Etrottoir se démarque d’une rhétorique nostalgique – pour un pouvoir fort – qui séduit une partie de l’élite tunisienne devant le désordre de l’après-révolution. « Après la chute de Ben Ali  le 14 janvier 2011  l’Etat a totalement disparu de la rue pendant un mois  rappelle Emna Bchir. Tout s’est bien passé. Les Tunisiens se sont réapproprié la rue  ils se sont accaparés le civisme. » Et puis l’Etat est revenu et  avec lui  les passe-droits et le sentiment d’injustice. Là est le problème. Dans cette Tunisie en transition  qui se cherche  tâtonne  le trottoir est devenu comme une ligne de front  déclarent les animateurs de Winou Etrottoir. La cause est « emblématique »  souligne M. Gorgi  car ce carré de ciment à protéger est  au sortir du logis privé  le « premier contact avec l’espace public ». C’est donc là que les valeurs de « civisme » et de « citoyenneté » se déploient  ou au contraire se dégradent. A l’heure où la Tunisie se prépare à élire le 17 décembre – date anniversaire du déclenchement à Sidi-Bouzid de la révolution de fin 2010-début 2011 – ses premiers conseils municipaux  les enjeux de proximité vont gagner en acuité. « Eviter la déception démocratique » Winou Etrottoir se sent comme investie d’une mission. L’association a soumis aux partis politiques une « charte de l’engagement » appelant à mener « bataille contre les contrevenants de toute nature  corrompus ou corrupteurs  qui gangrènent le développement sain de nos communes ». Le document réclame la « généralisation des zones piétonnes » dans les centres-villes  l’« implantation d’espaces verts »  la « transparence des décisions » municipales… Tous les partis politiques ont signé la « charte » à l’exception des deux principales formations parties prenantes de la coalition gouvernementale : Nidaa Tounès et Ennahda. A écouter les animateurs de Winou Etrottoir  l’heure est grave. Les Tunisiens doivent impérativement être entendus dans leurs préoccupations quotidiennes. « Il faut surtout éviter la déception démocratique  met en garde M. Maherzi. Sinon  la Tunisie n’est pas à l’abri d’une rechute autoritaire. » Les autorités sentent la pression. Elles réagissent. Lundi 26 juin  le gouverneur de Tunis  Omar Mansour  a assisté à la destruction d’étals sauvages dans les rues du centre-ville. La pédagogie serait assurément plus convaincante si les belles villas en infraction à La Marsa ou Gammarth subissaient le même sort – afin d’éviter le fameux sentiment d’injustice du « deux poids deux mesures ». Et puis  il y a ce détail anodin mais significatif. La presse tunisienne a diffusé un cliché du gouverneur de Tunis inspectant les démolitions d’étals à l’arrière d’une moto conduite par un policier. Le conducteur porte le casque réglementaire. Mais le gouverneur est tête nue  tout sourire. Winou (où est) le code de la route ?  Frédéric Bobin	https://external.xx.fbcdn.net/safe_image.php?d=AQBbrW6ieNRLKL1D&w=130&h=130&url=http%3A%2F%2Fs1.lemde.fr%2Fimage%2F2017%2F06%2F30%2F600x315%2F5153835_3_c4bd_une-voiture-garee-sur-le-trottoir-a-la-marsa-p_c54b02b72ac39cd5bb7ed6f447e19766.jpg&cfs=1&_nc_hash=AQA6VXlN80x5Fvw7	https://external.xx.fbcdn.net/safe_image.php?d=AQBx4xtKdVLX5kwi&url=http%3A%2F%2Fs1.lemde.fr%2Fimage%2F2017%2F06%2F30%2F600x315%2F5153835_3_c4bd_une-voiture-garee-sur-le-trottoir-a-la-marsa-p_c54b02b72ac39cd5bb7ed6f447e19766.jpg&_nc_hash=AQCfqUUNDRAjcnc4	http://www.lemonde.fr/afrique/article/2017/06/30/en-tunisie-la-guerre-des-trottoirs-est-declaree_5153841_3212.html	lemonde.fr	2017-06-30T14:32:09+0000	1498833129	2017-06-30 16:32:09	265	32	289	88	409	32	26	6	25	0	264	17	0	3	0	4	0	tunis
photo	post_user_1008279892518211	1008279892518211_1615076421838552	https://www.facebook.com/1008279892518211/posts/1615076421838552	تحية صباحية من ازقة المدينة العتيقة بسوسة🙂	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/19657267_10207416338486898_239733534951229941_n.jpg?oh=695013f021869099b8bb2df0f6afd078&oe=5A468E2E	https://scontent.xx.fbcdn.net/v/t1.0-0/p480x480/19657267_10207416338486898_239733534951229941_n.jpg?oh=0ac3c713bd5d78283323d95aa777a112&oe=5A4CDF5E	https://www.facebook.com/photo.php?fbid=10207416338486898&set=gm.1615076421838552&type=3	facebook.com	2017-07-04T06:42:33+0000	1499150553	2017-07-04 08:42:33	202	17	243	0	260	17	12	5	14	0	201	41	0	0	0	0	0	sousse
video	post_user_1008279892518211	1008279892518211_1614468071899387	https://www.facebook.com/1008279892518211/posts/1614468071899387	Raoudha Boubakour Mrad shared ‎نقابة تدخل الحرس الوطني بنابل Syn G.N Nabeul‎ s video to the group: WINOU ETROTTOIR???...	https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/19771067_1433045750123001_6528435454826512384_n.jpg?oh=fe1204d60a89b89c6f17ad3b20793896&oe=5A153C70	https://scontent.xx.fbcdn.net/v/t15.0-10/19771067_1433045750123001_6528435454826512384_n.jpg?oh=a3e3486fbc65f1874ebecaecdbf1a0f9&oe=5A16AF0B	https://www.facebook.com/syn.gn.nabeul/videos/1433045493456360/	facebook.com	2017-07-03T18:19:00+0000	1499105940	2017-07-03 20:19:00	4	2	5	6	13	2	2	0	0	0	4	0	1	0	0	0	0	nabeul
video	post_user_1008279892518211	1008279892518211_1614425335236994	https://www.facebook.com/1008279892518211/posts/1614425335236994	أتمنى التوفيق و الصبر للشرطة لمكافحة هؤلاء المنحرفين.	https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/19776640_1345178495535215_8401830323108708352_n.jpg?oh=15e905d324eb7079264a6e502f6095b2&oe=5A1AE9D5	https://scontent.xx.fbcdn.net/v/t15.0-10/19776640_1345178495535215_8401830323108708352_n.jpg?oh=bd9aed5cc9d54edf5d14fa0984719584&oe=5A591FAE	https://www.facebook.com/157241170995626/videos/1345177388868659/	facebook.com	2017-07-03T17:34:51+0000	1499103291	2017-07-03 19:34:51	88	45	139	34	218	45	30	15	41	0	87	5	5	0	11	29	0	kef
photo	post_user_1008279892518211	1008279892518211_1615837061762488	https://www.facebook.com/1008279892518211/posts/1615837061762488	David Pawlo shared ‎Delta tunisie دلتا تونس‎ s post to the group: WINOU ETROTTOIR???...	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/19748790_1627983153919776_2821678642392613403_n.jpg?oh=8f4f281c122ece88913931d39da0b0e3&oe=5A169654	https://scontent.xx.fbcdn.net/v/t1.0-9/19748790_1627983153919776_2821678642392613403_n.jpg?oh=033265f1cca3a79b6f304206138530c4&oe=5A15B13F	https://www.facebook.com/630521226999312/photos/a.1104390809612349.1073741887.630521226999312/1627983153919776/?type=3	facebook.com	2017-07-04T21:45:29+0000	1499204729	2017-07-04 23:45:29	14	0	14	1	15	0	0	0	0	0	14	0	0	0	0	0	0	tunis
photo	post_user_1008279892518211	1008279892518211_1615823671763827	https://www.facebook.com/1008279892518211/posts/1615823671763827	Port de Yasmine Hammamet :  Juillet 2017. Welcome to tunisia. Winou ministere du tourisme ???	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/19665408_1556836791007474_8252284389111178644_n.jpg?oh=79f1c76c0e8ceed8cd3bb2a981cdcb02&oe=5A5B89E7	https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/19665408_1556836791007474_8252284389111178644_n.jpg?oh=e13606d575563481e2e6f5b904bb252b&oe=5A1E17F2	https://www.facebook.com/photo.php?fbid=1556836791007474&set=gm.1615823671763827&type=3	facebook.com	2017-07-04T21:26:50+0000	1499203610	2017-07-04 23:26:50	2	0	5	0	5	0	0	0	0	0	1	0	0	0	0	3	0	tunis
video	post_user_1008279892518211	1008279892518211_1613843131961881	https://www.facebook.com/1008279892518211/posts/1613843131961881	Feriel Ben Jannet shared ‎راديو مهدية Radio Mahdia‎ s video to the group: WINOU ETROTTOIR???...	https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/19647275_1970393406525349_2970677627074904064_n.jpg?oh=835ff1d875f7e96b290217638e8df599&oe=5A4DAFCB	https://scontent.xx.fbcdn.net/v/t15.0-10/19647275_1970393406525349_2970677627074904064_n.jpg?oh=024be7b0273cb82dfbddc323322ce8ae&oe=5A4F66B0	https://www.facebook.com/RMahdia/videos/1970390323192324/	facebook.com	2017-07-03T05:57:41+0000	1499061461	2017-07-03 07:57:41	49	14	54	18	86	14	13	1	8	0	48	3	0	0	0	2	0	mahdia
photo	post_user_1008279892518211	1008279892518211_1615809351765259	https://www.facebook.com/1008279892518211/posts/1615809351765259	عاحل: والي بنزرت يقود حملة ةليلية غير معلنة على الانتصاب بشاطئ الرمال وحجز وازالة 2 برارك وغيرها من المواد بما فيها الجعة.	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/19656909_151223935437797_2709177657710608541_n.jpg?oh=384d0bb163463d5cad6f8e90fae1d40f&oe=5A5C7648	https://scontent.xx.fbcdn.net/v/t1.0-9/19656909_151223935437797_2709177657710608541_n.jpg?oh=7ebc611b56f854f91d56f8759510a24f&oe=5A4A57D5	https://www.facebook.com/photo.php?fbid=151223935437797&set=gm.1615809351765259&type=3	facebook.com	2017-07-04T21:06:56+0000	1499202416	2017-07-04 23:06:56	34	0	38	11	49	0	0	0	0	0	30	2	1	0	0	0	0	bizert
video	post_user_1008279892518211	1008279892518211_1613061585373369	https://www.facebook.com/1008279892518211/posts/1613061585373369	بطلب من رجل مسن لوالي تونس ...بطحاء  الخربة  بالعاصمة تتحول الى حديقة عمومية ♥ ♥ ♥	https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/19776710_666219896904941_9064900589879558144_n.jpg?oh=8c784b6f78663248c590321b6c36ff27&oe=5A4CAA86	https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/19776710_666219896904941_9064900589879558144_n.jpg?oh=aee0ba79ebae98bfa5e99baa54efbd3b&oe=5A5E843C	https://www.facebook.com/420253548168245/videos/666203616906569	facebook.com	2017-07-02T14:44:33+0000	1499006673	2017-07-02 16:44:33	252	55	313	0	368	55	38	17	39	0	249	59	0	1	0	0	0	tunis
video	post_user_1008279892518211	1008279892518211_1613245275355000	https://www.facebook.com/1008279892518211/posts/1613245275355000	المدير العام للامن العمومي رشاد بالطيب يأمر  بتنفيذ حملة أمنية وطنية اليوم على جميع الشواطئ في الجمهورية التونسية لمقاومة الانتصاب الفوضوي والمظاهر المخلة بالاداب و الامن العام والراحة العامة والسكينة العامة والتصدى لكل مامن شانه تعطيل حركة المرور والتعدي على حرية الاشخاص ♥ ♥  (صور جوهرة افم و الفيديو شمس افم )	https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/19767942_666285586898372_1171264738697412608_n.jpg?oh=e32f7497271fd840550a5f12d86dac56&oe=5A5FACB4	https://scontent.xx.fbcdn.net/v/t15.0-10/19767942_666285586898372_1171264738697412608_n.jpg?oh=72b0b8034e20c7f9050ce0909686409d&oe=5A5B6D59	https://www.facebook.com/420253548168245/videos/666280503565547	facebook.com	2017-07-02T17:50:38+0000	1499017838	2017-07-02 19:50:38	109	25	122	39	186	25	22	3	4	0	108	13	0	0	0	0	0	tunis
