type	by	post_id	post_link	post_message	picture	full_picture	link	link_domain	post_published	post_published_unix	post_published_sql	likes_count_fb	comments_count_fb	reactions_count_fb	shares_count_fb	engagement_fb	comments_retrieved	comments_base	comments_replies	comment_likes_count	rea_NONE	rea_LIKE	rea_LOVE	rea_WOW	rea_HAHA	rea_SAD	rea_ANGRY	rea_THANKFUL	place
event	post_user_1008279892518211	1008279892518211_1477891382223724	https://www.facebook.com/1008279892518211/posts/1477891382223724	غدوا الكلنا قدام البلفدير مع العشرة متاع الصباح.  باش نقولو يزينا من التسيب و الهمجية.  لا لالعنف ضد الحيوانات.  نعم لحماية الحيونات.  نعم لصيانة حديقة الحيوانات.   DEMAIN DIMANCHE 5 MARS 2017 A 10h   TOUS ensembles devant le ZOO du BELVÉDÈRE  pour dire NON au laxisme   NON à l impunité!  NON à la violence contre les animaux. OUI à la protection des animaux du zoo et sa réabilitation aux normes internationales!   PARTAGEZ SVP  ET SURTOUT VENEZ NOUS SOUTENIR  ACT خمم و قرر / On a étés embétés pour vous/ Winou Etrottoir / Be Tounssi.  #winou_etrottoir #zoo_tunis #parc_belvedere	https://scontent.xx.fbcdn.net/v/t1.0-0/c22.0.130.130/p130x130/16864852_10211275825678837_2541585969475166657_n.jpg?oh=a9838c3143e937947093e179fd14c04b&oe=5A187B84	https://scontent.xx.fbcdn.net/v/t1.0-9/c28.0.165.165/16864852_10211275825678837_2541585969475166657_n.jpg?oh=cef36d93a20da3de09e22162ba9d7681&oe=5A5D28A8	https://www.facebook.com/events/379554589084214/	facebook.com	2017-03-04T20:25:54+0000	1488659154	2017-03-04 21:25:54	54	1	54	15	70	1	1	0	1	0	54	0	0	0	0	0	0	tunis
video	post_user_1008279892518211	1008279892518211_1477840842228778	https://www.facebook.com/1008279892518211/posts/1477840842228778	J habite à la rue de hanon la perpendiculaire à la rue de Charles de gaules et je suis témoin de la politique d indifférence et de démission du gouvernement tunisien vis à vis des comportements déviants non civiques des bandits du marché parallèle et des soldats du corruption et de l anarchie totale. Je vous laisse visualiser la vidéo et n hesitez pas à la partager pour dénoncer ces pratiques et cette politique. Merci.	https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/17118645_1457389084273352_8464030692324409344_n.jpg?oh=dd34ef027442f57cc874feb2ca403034&oe=5A573D5D	https://scontent.xx.fbcdn.net/v/t15.0-10/17118645_1457389084273352_8464030692324409344_n.jpg?oh=9d94a27f68b68d45f5e68849a2ca8889&oe=5A4FDA26	https://www.facebook.com/989964094349189/videos/1457379337607660	facebook.com	2017-03-04T19:51:52+0000	1488657112	2017-03-04 20:51:52	3	0	12	0	12	0	0	0	0	0	3	0	0	0	0	9	0	tunis
video	post_user_1008279892518211	1008279892518211_1476569255689270	https://www.facebook.com/1008279892518211/posts/1476569255689270	Ahmed Krimi shared ‎الصفحة الرسمية لولاية قفصة‎ s video to the group: WINOU ETROTTOIR???...	https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/17140361_1477396185606533_3779006668503777280_n.jpg?oh=b1676b6f610c457cd915c1d8b60f99e5&oe=5A5E06BB	https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/17140361_1477396185606533_3779006668503777280_n.jpg?oh=bb11e50e285406f955b428abd9141c3c&oe=5A1A8599	https://www.facebook.com/Gouvernorat.De.Gafsa/videos/1477392775606874/	facebook.com	2017-03-03T18:50:16+0000	1488567016	2017-03-03 19:50:16	127	38	140	91	269	36	34	2	32	0	127	4	4	2	3	0	0	gafsa
video	post_user_1008279892518211	1008279892518211_1476408965705299	https://www.facebook.com/1008279892518211/posts/1476408965705299	Adresse : Rue Lac Malaren  devant la DGI  Horaire: 15h 30 Est-ce qu on est obligé toujours de voir et d entendre ce genre de masacre? Est-ce qu on est obligé d entendre les insultes et ded gros motos et surtout les klaxons stressantes?  Qui est le fautif? OÙ est la municipalité pr interdire le stationnement en 2 ème position?  #wenouchngaal #municipalitédetunis	https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/17140426_10211874389359008_1679038497102495744_n.jpg?oh=c409a6ed57df1e4a65e1e435db554fd7&oe=5A4F9C17	https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/17140426_10211874389359008_1679038497102495744_n.jpg?oh=5746390096a5b42dc76c539e2c95678a&oe=5A138BE5	https://www.facebook.com/10211476570573787/videos/10211874362558338	facebook.com	2017-03-03T15:40:09+0000	1488555609	2017-03-03 16:40:09	0	2	2	0	4	2	2	0	0	0	0	0	0	0	1	1	0	tunis
photo	post_user_1008279892518211	1008279892518211_1474520605894135	https://www.facebook.com/1008279892518211/posts/1474520605894135	حديقة الحيوانات لمدينة تونس تصرف وحشي من قبل مجموعة من زوار الحديقة التي قامت برشق تمساح بالحجارة على مستوى الرأس مما تسبب له في نزيف دموي داخلي أدى إلى وفاته على عين المكان	https://scontent.xx.fbcdn.net/v/t1.0-0/p130x130/17021495_1410496672314584_24996110353886387_n.jpg?oh=1298037d6c55c80a91cc8d5086ea36fb&oe=5A5BF1A5	https://scontent.xx.fbcdn.net/v/t1.0-9/17021495_1410496672314584_24996110353886387_n.jpg?oh=0c45d47d84a0f8fc55c4e1b69dbfa4c8&oe=5A47C7A3	https://www.facebook.com/photo.php?fbid=1410496672314584&set=gm.1474520605894135&type=3	facebook.com	2017-03-01T18:49:49+0000	1488394189	2017-03-01 19:49:49	5	13	19	3	35	12	11	1	3	0	5	0	0	0	7	7	0	tunis
photo	post_user_1008279892518211	1008279892518211_1474983625847833	https://www.facebook.com/1008279892518211/posts/1474983625847833	Institut tunisien Rashidi pas Turki	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/16939364_758803564295606_5762547935147233956_n.jpg?oh=947c00b14e86d37e9d2ca8e550b00ec8&oe=5A5AD314	https://scontent.xx.fbcdn.net/v/t1.0-0/p180x540/16939364_758803564295606_5762547935147233956_n.jpg?oh=2f36a74e1be1ea9e247b19b5838e06b1&oe=5A1C33D5	https://www.facebook.com/photo.php?fbid=758803564295606&set=gm.1474983625847833&type=3	facebook.com	2017-03-02T07:02:47+0000	1488438167	2017-03-02 08:02:47	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	tunis
status	post_user_1008279892518211	1008279892518211_1473978182615044	https://www.facebook.com/1008279892518211/posts/1473978182615044	تو نسي يا تونسي........ إستهلك تونسي Tounsi Yaa Tounsii.....Istahlek Tounsiiii Consommons Tunisien ............					2017-03-01T07:45:49+0000	1488354349	2017-03-01 08:45:49	8	2	8	1	11	2	1	1	1	0	8	0	0	0	0	0	0	tunis
status	post_user_1008279892518211	1008279892518211_1473970089282520	https://www.facebook.com/1008279892518211/posts/1473970089282520	Bonjour la meute  je pense qu en tant qu association citoyenne nous devons expliquer et mener les combats pour l intérêt de la Tunisie. Notre économie est attaquée de tout bords par la contrebande déclarée et la contrebande déguisée. La contrebande déclarée est le panache des régions  frontalières et la riposte vient des autorités sécuritaires  police  douane  armée. La contrebande déguisée est un nouveau filon qu ont découvert les affairistes avec enseigne et pignon sur rue. Quel l objectif des contrebandiers? Ne pas payer de taxes ou droit de douane pour plus de gains. Qui aujourd hui est dans cette position? Les produits importés de Turquie à cause du traité de libre échange avec la Tunisie. Quel est le problème avec l économie tunisienne ? Le tissus industriels des PME s effrite au profit des commerçants donc chômage et insécurité. Le déficit de la balance commercial en faveur de la Turquie et de la Chine bloque tout développement. Quel est la différence entre la Chine et la Turquie? La Chine a acceptée d être payée avec dinars tunisiens ce qui implique obligatoirement l achat de produits ou services tunisiens de plus les produits chinois importés légalement payent les droits de douanes. La Turquie récupéré les dollars que nous empruntons au prix fort sur le marché monétaire mondiale et n importe rien de la Tunisie. Je pense que WET doit avec les autres associations citoyennes betunis ...commencer une compagne de sensibilisation. C est notre mission.					2017-03-01T07:33:49+0000	1488353629	2017-03-01 08:33:49	13	13	16	1	30	13	7	6	13	0	13	0	0	0	0	3	0	tunis
photo	post_user_1008279892518211	1008279892518211_1472060366140159	https://www.facebook.com/1008279892518211/posts/1472060366140159	اليوم في كارفور المرسى ... تحذير تلقائي من استهلاك السلع التركية على حساب اقتصاد تونس المتهالك	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/17022252_1176839382415449_3070079448974940044_n.jpg?oh=f71d772cba083bd3bd2621f49720807c&oe=5A5B5605	https://scontent.xx.fbcdn.net/v/t1.0-9/17022252_1176839382415449_3070079448974940044_n.jpg?oh=edfdaa78ea93730a020c1a6503e30c2f&oe=5A17AA6E	https://www.facebook.com/photo.php?fbid=1176839382415449&set=gm.1472060366140159&type=3	facebook.com	2017-02-27T18:29:37+0000	1488220177	2017-02-27 19:29:37	278	183	326	218	727	179	88	91	425	0	276	16	3	3	1	25	0	tunis
photo	post_user_1008279892518211	1008279892518211_1474240035922192	https://www.facebook.com/1008279892518211/posts/1474240035922192	5idma sahla fi charika 100% tounsia w oumourha 9anounia w nwarrikom el preuve w bil fiche de paie فرصة عمل لأول مرة في تونس بالإنترنت. تعطي رأيك كل (ثلاثة ايام من كل شهر) وتخلص عليه ...ماكش باش اتبيع وماكش باش تشري سلعة وتقعدلك .....وأنت في بلاصتك في الدار في الخدمة في أي بلاصة. ....إلي اتحب اتقوي شهريتو وإلا اتحب تعمل شهرية تحب تخدم معانا تضمن دخل شهرى بين 200د و 1000د وتزيد تضمن منحة سنوية خدمة ساهلة وماكش باش تبيع الى يحب يفهم يكتب moi نفسرلو مرحبا ou ija privé	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/16998106_189187188236221_5787281263740784648_n.jpg?oh=ea485502b6704e510897645885af2176&oe=5A5893D0	https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/16998106_189187188236221_5787281263740784648_n.jpg?oh=54169ec73ab666849f2f598782e0ed3b&oe=5A54662F	https://www.facebook.com/photo.php?fbid=189187188236221&set=gm.1474240035922192&type=3	facebook.com	2017-03-01T13:49:09+0000	1488376149	2017-03-01 14:49:09	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	tunis
photo	post_user_1008279892518211	1008279892518211_1472111706135025	https://www.facebook.com/1008279892518211/posts/1472111706135025	غزو لعلامات اشهارية عملاقة لرصيف شارع بورقيبة بباجة.	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/16997681_192471634572592_4166594395326262489_n.jpg?oh=0f14fdbb5585606d069e80cd2ab522ff&oe=5A4DABF1	https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/16997681_192471634572592_4166594395326262489_n.jpg?oh=46759c565ac420528d89d556a52ff9f8&oe=5A4AB70E	https://www.facebook.com/photo.php?fbid=192471634572592&set=gm.1472111706135025&type=3	facebook.com	2017-02-27T19:30:35+0000	1488223835	2017-02-27 20:30:35	6	6	9	3	18	6	6	0	2	0	6	0	0	0	1	2	0	beja
status	post_user_1008279892518211	1008279892518211_1472893762723486	https://www.facebook.com/1008279892518211/posts/1472893762723486	Vive la femme tunisienne tahya tounes					2017-02-28T07:29:11+0000	1488266951	2017-02-28 08:29:11	21	4	23	0	27	4	4	0	4	0	21	2	0	0	0	0	0	tunis
photo	post_user_1008279892518211	1008279892518211_1471679586178237	https://www.facebook.com/1008279892518211/posts/1471679586178237	À 100m de l arrondissement Municipale D ENASER  occupation du trottoir par cette buvette.              عادت  حليمة لعادتها القديمة،كل شىئ رجع كيما كان قبل حملة الارصفة اللي قامت بيها مصالح بلدية أريانة منذ شهرين،	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/17022313_626664447517561_477323046032351399_n.jpg?oh=b4afa2b43e62585b9cf466dabdbd1375&oe=5A1559B9	https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/17022313_626664447517561_477323046032351399_n.jpg?oh=ba2c284b68c5b27bfc7daf618a38dab3&oe=5A199B4E	https://www.facebook.com/photo.php?fbid=626664447517561&set=gm.1471679586178237&type=3	facebook.com	2017-02-27T10:02:28+0000	1488189748	2017-02-27 11:02:28	26	18	44	0	62	18	18	0	8	0	25	0	2	1	2	13	0	ariana
link	post_user_1008279892518211	1008279892518211_1471578949521634	https://www.facebook.com/1008279892518211/posts/1471578949521634	....La bêtise tunisienne est sans limite	https://external.xx.fbcdn.net/safe_image.php?d=AQAkH48nyN4H0rP5&w=130&h=130&url=http%3A%2F%2Fkapitalis.com%2Ftunisie%2Fwp-content%2Fuploads%2F2017%2F02%2FPatrimoine-Nasrallah-Kairouan.jpg&cfs=1&_nc_hash=AQDte0VKdEN-u7Rd	https://external.xx.fbcdn.net/safe_image.php?d=AQBQLLY4_Uo3udtt&url=http%3A%2F%2Fkapitalis.com%2Ftunisie%2Fwp-content%2Fuploads%2F2017%2F02%2FPatrimoine-Nasrallah-Kairouan.jpg&_nc_hash=AQAWGdjlqCXaBafy	http://kapitalis.com/tunisie/2017/02/23/patrimoine-des-vestiges-a-kairouan-detruits-au-bulldozer/	kapitalis.com	2017-02-27T07:36:20+0000	1488180980	2017-02-27 08:36:20	6	3	11	7	21	3	3	0	0	0	6	0	1	0	2	2	0	tunis
photo	post_user_1008279892518211	1008279892518211_1471149436231252	https://www.facebook.com/1008279892518211/posts/1471149436231252	Lawahedh Ben Haj Brahim shared ‎Tunimedia Net - تونس للإعلام‎ s photo to the group: WINOU ETROTTOIR???...	https://scontent.xx.fbcdn.net/v/t1.0-0/q84/s130x130/16996354_1416149685116700_1586921937548583489_n.jpg?oh=e1a7746c63d3ee37e85bbf3fcd742a0c&oe=5A4F1BEE	https://scontent.xx.fbcdn.net/v/t1.0-9/16996354_1416149685116700_1586921937548583489_n.jpg?oh=b1cef04442f06e3cfdd4ac70bfaa16ff&oe=5A1C2A7E	https://www.facebook.com/TunimediaNet/photos/a.883533228378351.1073741828.883430571721950/1416149685116700/?type=3	facebook.com	2017-02-26T21:12:50+0000	1488143570	2017-02-26 22:12:50	4	3	9	2	14	3	2	1	1	0	4	0	0	0	3	2	0	tunis
