place	count
ariana	112
beja	11
benArous	22
bizert	64
gabes	7
gafsa	21
jendouba	2
kairouan	25
kasserine	3
kebeli	1
kef	38
mahdia	9
manouba	19
monastir	18
nabeul	23
place	8
sfax	57
sidiBouzid	5
siliana	2
sousse	115
tataouine	6
tozeur	6
tunis	1041
zaghouan	17
